character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
vega_mbison,vega_mbison_001_5_lp,Standing Light Punch,5LP,normals,12 (DR: 13),17,10,9,+8,-11,+5,-2,+8,+1,-,-,-,1,1,0,-,1.26,150 (75),"Chains into 5LP/2LP/2LK; good range for a 5f jab; DR cancel is delayed until after 1st recovery frame; when 5LP is chained into, a follow-up chain occurs 1f earlier than usual (e.g. 5LP~5LP has 2f blockstring gap, but 5LP~5LP~5LP has 1f gap between the 2nd/3rd hits)"
vega_mbison,vega_mbison_002_5_lk,Standing Light Kick,5LK,normals,12,15,11,9,+7,-10,+5,+1,+7,+3,-,-,-,1,1,0,-,1.097,150 (75),"Good light string ender that moves Bison forward (keeps him closer after a cancel, allowing more consistent combos like 2LK, 2LP, 5LK > 214LP); rare light normal that is plus after DR Cancel on block"
vega_mbison,vega_mbison_003_5_mp,Standing Medium Punch,5MP,normals,15,24,18,11,+10,-16,+14,+8,+10,+4,-,-,-,1,1,0,-,1.288,250 (125),Counter-hit required to combo into 6HP Target Combo; combo and pressure starter
vega_mbison,vega_mbison_004_5_mk,Standing Medium Kick,5MK,normals,-,22,17,11,+6,-18,-,-,+6,+1,-,-,-,1,1,0,-,1.729,350 (175),Poke with great range and hitbox priority; extends a wider hurtbox until the end of recovery
vega_mbison,vega_mbison_005_5_hp,Standing Heavy Punch,5HP,normals,17 (29 PC),24,21,13,+17(+19),-18(-16),-,-,+8(+10),+5(+7),-,-,-,1,1,10,-,2.071 (1.822),500 (250),Slow advancing poke with good hitbox priority; 3f extra recovery on whiff/armor; can be spaced for better frame advantage; can be hitconfirmed into Super; slams airborne opponents down into limited juggle OTG state (higher bounce on Punish Counter allows more juggle follow-ups); extends a hurtbox 1f before active that is vulnerable to projectiles
vega_mbison,vega_mbison_006_5_hk,Standing Heavy Kick,5HK,normals,-,29,21,13,KD +73 Crumple,-21,-,-,+10,+2,-,-,-,1,1,1,-,1.59,500 (250),Punish Counter crumple is +7 before opponent goes airborne; extended foot hurtbox is anti-air invuln while active on frames 13-16; whiffs on crouching opponents at longer ranges; puts airborne opponents into limited juggle state (much higher launch on Punish Counter); extends a hurtbox 1f before active that is vulnerable to projectiles
vega_mbison,vega_mbison_007_2_lp,Crouching Light Punch,2LP,normals,12,16,10,9,+8,-10,+5,-1,+8,+2,-,-,-,1,1,0,-,1.06,150 (75),Chains into 5LP/2LP/2LK; DR cancel is delayed until after active frames; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)
vega_mbison,vega_mbison_008_2_lk,Crouching Light Kick,2LK,normals,-,16,10,9,+8,-10,-,-,+8,+2,-,-,-,1,1,0,-,1.05,150 (75),Chains into 5LP/2LP/2LK; links naturally into 4f lights without chaining and can link to 2MP on counter-hit (rare for a 2LK)
vega_mbison,vega_mbison_009_2_mp,Crouching Medium Punch,2MP,normals,15,22,16,11,+9,-15,+12,+6,+9,+3,-,-,-,1,1,0,-,1.30,250 (125),3f extra recovery on whiff; great range for a 6f medium (great for buffers and combos); topmost hurtbox on frames 1-8 is vulnerable only to aerial strikes (preventing its use as an anti-air)
vega_mbison,vega_mbison_010_2_mk,Crouching Medium Kick,2MK,normals,13,20,16,9,+2,-20,+8,+4,+2,-2,-,-,-,1,1,0,-,1.482,250 (125),Solid cancelable low poke; DR cancel is delayed until after active frames; extends a wide hurtbox through the first 9 recovery frames before starting to recede; Range: 1.482
vega_mbison,vega_mbison_011_2_hp,Crouching Heavy Punch,2HP,normals,16,27,18,13,+4,-25,+17,+8,+4,-5,-,-,-,1,1,0,-,0.80,500 (250),Forces stand; puts airborne opponents into limited juggle state on Counter-hit/Punish Counter; slow anti-air with good vertical hitbox priority on frames 12-15 but cannot hit cross-up; only first 2 active frames are cancelable
vega_mbison,vega_mbison_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,9,9,+12(+13),-3(-2),-,-,-,-,-,-,-,1,1,0,-,1.12,150 (75),Decent air-to-air
vega_mbison,vega_mbison_014_j_lk,Jumping Light Kick,j.LK,normals,-,14,10,9,+9(+14),-7 (-2),-,-,-,-,-,-,-,1,1,0,-,1.21,150 (75),Cross-up; decent air-to-air
vega_mbison,vega_mbison_016_j_mk,Jumping Medium Kick,j.MK,normals,-,17,13,11,+12(+17),-7 (-2),-,-,-,-,-,-,-,1,1,0,-,0.63,250 (125),"Cross-up; lower body projectile invuln 7-20f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
vega_mbison,vega_mbison_017_j_hp,Jumping Heavy Punch,j.HP,normals,-,19,15,13,+11(+19),-10 (-2),-,-,-,-,-,-,-,1,0,0,-,0.92,500 (250),Good vertical hitbox for close jumps; spike knockdown vs. airborne opponents on Counter-hit/Punish Counter; lower body projectile invuln 9-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
vega_mbison,vega_mbison_018_j_hk,Jumping Heavy Kick,j.HK,normals,-,19,15,13,+15(+19),-6 (-2),-,-,-,-,-,-,-,1,0,0,-,1.34,500 (250),Longest horizontal range of Bison's air normals; lower body projectile invuln 10-19f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
vega_mbison,vega_mbison_020_4_hk,Evil Knee,4HK,command_normals,18,25,22,13,+8,-19,+15,+12,+8,+5,-,-,-,1,1,0,-,1.075,500 (250),Forces stand; good combo/pressure/oki tool but short horizontal range; low pushback on hit/block
vega_mbison,vega_mbison_021_3_hk,Hover Kick,3HK,command_normals,-,-,18,13,HKD +41(+50),-31(-22),-,-,KD +25(+34),-11 (-2),-,-,-,1,1,5,-,3.47 (1.753),500 (250),Full-screen slide that can be spaced (but always punishable except vs. Burnout); has juggle potential (not a Hard Knockdown when juggled into); crouching state for entire duration
