character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
terry,terry_001_5_lp,Standing Light Punch,5LP,normals,13,14,9,9,+8,-8,+4,-1,+8,+3,-,-,-,1,1,0,-,1.01,150 (75),"Chains into 5LP/2LP/2LK; faster chain timing than 2LP (better vs. DI); more range than 2LP, but less hitstun (cannot combo naturally into 236LP, 214MP, or 236LK)"
terry,terry_002_5_lk,Standing Light Kick,5LK,normals,12 (DR: 13),16,12,9,+6,-12,+4,0,+6,+2,-,-,-,1,1,0,-,1.19,150 (75),Terry's longest range light normal for 5f punishes (but below average for a 5LK); useful in LK Power Charge loops when spaced; DR cancel is delayed until after 1st recovery frame
terry,terry_003_5_mp,Standing Medium Punch,5MP,normals,15 / 17 TC,21,16,11,+6,-17,+11,+6,+6,+3,-,-,-,1,1,0,-,1.297,250 (125),Moves Terry slightly forward; cancelable into 3 different Target Combo routes; good against opponents in Burnout due to its low pushback
terry,terry_004_5_mk,Standing Medium Kick,5MK,normals,-,26,19,11,+9,-19,-,-,+9,+2,-,-,-,1,1,0,-,1.542,350 (175),Terry's main mid-range poke that can also link to 5LK at closer ranges; can easily link to SA1 on Counter-hit; front leg hurtbox is raised on frames 3-20 making it strong against low pokes
terry,terry_005_5_hp,Standing Heavy Punch,5HP,normals,27(17),"27,23 (24 total)","21,20 (21 total)","12,10 / 13 (2nd only)",+6,-20,+17 / +13,+11 / +10,+6,+5,-,-,-,1,1,0,-,1.245 (0.983),250x2 (125x2),"2 hits; 2f less recovery on block; both hits are cancelable, making it easy to hitconfirm; 1st hit has more hitstun, allowing combos into 236HK; Counter-hit/Punish Counter advantage carries through both hits; short range but good hitbox priority for counterpoking; 1st hit has much less range (only 2nd hit will connect as a ranged poke); when used out of Drive Rush on block, Terry is left slightly out of throw range but can microwalk + throw to beat 4f light normals"
terry,terry_006_5_hk,Standing Heavy Kick,5HK,normals,-,26,21,13,KD +59 Crumple,-23,-,-,+5,0,-,-,-,1 [-1 PC],1,0,-,1.802 (1.774),500 (250),Solid poke for chipping the opponent's Drive gauge with its good range and hitbox priority; Punish Counter puts grounded opponents into a free juggle crumple state (+18 before opponent is knocked down); Punish Counter puts airborne opponents into limited juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles; decent anti-air on frames 14-15 (strict timing to use effectively)
terry,terry_007_2_lp,Crouching Light Punch,2LP,normals,13,15,10,9,+8,-9,+5,0,+8,+3,-,-,-,1,1,0,-,0.91,150 (75),"Chains into 5LP/2LP/2LK; shortest range of Terry's light normals, but naturally combos into 236LP, 214MP, and 236LK; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
terry,terry_008_2_lk,Crouching Light Kick,2LK,normals,-,16,11,9,+7,-11,-,-,+7,+2,-,-,-,1,1,0,-,1.10,150 (75),"Chains into 5LP/2LP/2LK; good range, hitbox priority, and low pushback for a 2LK make it a great combo/blockstring starter or Drive Rush starter that can link into 2MP/5MP on hit"
terry,terry_009_2_mp,Crouching Medium Punch,2MP,normals,16,22,17,11,+9,-16,+12,+7,+9,+3,-,-,-,1,1,0,-,1.16,250 (125),"2f extra recovery on whiff; 1f extra recovery on block; great poke, counterpoke, meaty, and combo tool that can be up to +3 on block; topmost hurtbox on frames 1-9 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
terry,terry_010_2_mk,Crouching Medium Kick,2MK,normals,13,20,16,9,+2,-20,+8,+4,+2,-2,-,-,-,1,1,0,-,1.501,300 (150),"Very long range low poke with a launching TC extension; DR cancel is delayed until after active frames; moves Terry forward during cancelable frames (makes 2MK~2HK more consistent, keeps Terry closer for Crack Shoot burnout pressure, but makes Power Wave cancels more unsafe)"
terry,terry_012_2_hk,Sliding Kick,2HK,normals,-,-,16,13,HKD +47,-24,-,-,KD +40,-7,-,-,-,1,1,3,-,1.629,500 (250),"Good hitbox priority for counterpoking, but large extended hurtbox on whiff; can situationally anti-air some airborne moves at longer ranges; has juggle potential"
terry,terry_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,9,9,+10(+13),-5 (-2),-,-,-,-,-,-,-,1,1,0,-,1.08,150 (75),Fast air-to-air
terry,terry_014_j_lk,Jumping Light Kick,j.LK,normals,-,13,9,9,+11(+13),-4 (-2),-,-,-,-,-,-,-,1,1,0,-,0.92,150 (75),Fast air-to-air that hits above Terry
terry,terry_015_j_mp,Jumping Medium Punch,j.MP,normals,-,15,11,11,+15,-2,-,-,-,-,-,-,-,1,1,3,-,0.81,250 (125),"Puts airborne opponents into limited juggle state; has a large air-to-air hitbox; only the last active frame can connect on grounded opponents (standing only, strict timing); lower body projectile invuln 6-22f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
terry,terry_016_j_mk,Jumping Medium Kick,j.MK,normals,-,17,13,11,+12(+17),-7 (-2),-,-,-,-,-,-,-,1,1,0,-,1.14,250 (125),Cross-up with good horizontal range and forward hitbox priority; lower body projectile invuln 7-20f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
terry,terry_017_j_hp,Jumping Heavy Punch,j.HP,normals,-,19,15,13,+13(+19),-8 (-2),-,-,-,-,-,-,-,1,1,0,-,0.78,500 (250),Causes spike knockdown vs. airborne opponents on Counter-hit/Punish Counter; good hitbox priority for close-range jump-ins; lower body projectile invuln 9-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
terry,terry_018_j_hk,Jumping Heavy Kick,j.HK,normals,-,19,15,13,+13(+19),-8 (-2),-,-,-,-,-,-,-,1,1,0,-,1.15,500 (250),Strongest all-purpose jump-in with good range and horizontal/vertical hitbox priority; lower body projectile invuln 10-19f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
terry,terry_019_6_hp,Hammer Punch,6HP,command_normals,-,24,19,11,+6,-20,-,-,+6,+1,-,-,-,1,1,0,-,1.468 (1.371),250 (125),Can link into 5LP/2LP with perfect meaty timing; leaves Terry slightly out of throw range when used from Drive Rush
