character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
blanka,blanka_001_5_lp,Standing Light Punch,5LP,normals,13,16,10,9,+7,-11,+6,0,+7,+1,-,-,-,1,1,0,-,1.36,150 (75),Mostly used for special cancels (cannot link or chain into other normals); SA2 cancel: +5/-1; Forward Hop cancel: -12/-18; Coward Crouch cancel: -3/-9
blanka,blanka_002_5_lk,Standing Light Kick,5LK,normals,14,16,9,9,+9,-9,+6,-1,+9,+2,-,-,-,1,1,0,-,1.11,150 (75),Chains into 5LK/2LP/2LK; Blanka's fastest light normal; SA2 cancel: +5/-2; Forward Hop cancel: -12/-19; Coward Crouch cancel: -3/-10
blanka,blanka_003_5_mp,Standing Medium Punch,5MP,normals,15 SA,21,14,11,+7,-16,-,-,+7,0,-,-,-,1,1,0,-,1.64,250 (125),Solid neutral poke; SA2 cancel: +10/+3
blanka,blanka_004_5_mk,Standing Medium Kick,5MK,normals,15,25,18,11,+9,-18,+15,+8,+9,+2,-,-,-,1,1,0,-,1.494,350 (175),3f extra recovery on whiff; forward movement makes it more consistent in cancels like OD Backstep Roll; SA2 cancel: +14/+7; Forward Hop cancel: -3/-10; Coward Crouch cancel: +6/-1
blanka,blanka_005_5_hp,Standing Heavy Punch,5HP,normals,16,27,21,13,+7,-27,+17,+11,+7,+1,-,-,-,1,1,0,-,1.561 (1.429),500 (250),Combo tool with enough hitstun to follow up with Coward Crouch + Wild Lift; forces stand; 5f extra recovery on whiff; final 2 active frames only hit airborne opponents above Blanka; SA2 cancel: +16/+10; Forward Hop cancel: -1/-7; Coward Crouch cancel: +8/+2
blanka,blanka_006_5_hk,Standing Heavy Kick,5HK,normals,-,33,20,13,+10,-22,-,-,+10,0,-,-,-,1,1,0,-,1.435 (1.175),500 (250),"Forces stand; great anti-air that can hit cross-up on active frames 7-9 unlike most AAs; Counter-hit/Punish Counter launches airborne opponents into a limited juggle state (very high float state); high active frame count makes it useful as a meaty tool, and the fast startup + hit advantage makes it useful in combos; 3f less recovery on block; extends a hurtbox 1f before active that is vulnerable to projectiles"
blanka,blanka_007_2_lp,Crouching Light Punch,2LP,normals,13,16,9,9,+9,-9,+6,-1,+9,+2,-,-,-,1,1,0,-,1.40,150 (75),Chains into 5LK/2LP/2LK; longest range of Blanka's light normals; SA2 cancel: +5/-2; Forward Hop cancel: -12/-19; Coward Crouch cancel: -3/-10
blanka,blanka_008_2_lk,Crouching Light Kick,2LK,normals,-,15,9,9,+7,-10,-,-,+7,+1,-,-,-,1,1,0,-,1.23,150 (75),Chains into 5LK/2LP/2LK; leaves a 4f blockstring gap when chained into 2LP (opponent can trade with their own 4f normal)
blanka,blanka_009_2_mp,Crouching Medium Punch,2MP,normals,19,20,16,11,+3,-19,+10,+6,+3,-1,-,-,-,1,1,0,-,1.72 (1.04),250 (125),"Long range cancelable poke with a lenient hitconfirm window; can be spaced to hit up to 3rd active frame (2f better advantage, 2f harder hitconfirm window); situational anti-air on active frames 4-5 but cannot hit cross-up; SA2 cancel: +9/+5; Forward Hop cancel: -8/-12; Coward Crouch cancel: +1/-3"
blanka,blanka_010_2_mk,Crouching Medium Kick,2MK,normals,13,24,16,9,+9,-17,+14,+6,+9,-1,-,-,-,1,1,0,-,1.48,300 (150),"2f extra recovery on block/whiff; cancelable low poke with good frame advantage on hit (can link after Drive Rush into 2MK without spending extra meter); SA2 cancel: +13/+5; Forward Hop cancel: -4/-12; Coward Crouch cancel: +5/-3; Range: 1.48 (this is Absolute Range; Blanka's wide hurtbox gives him worse Relative Range, so characters with less 2MK range may still be able to outpoke Blanka in neutral)"
blanka,blanka_011_2_hp,Crouching Heavy Punch,2HP,normals,-,25,21,13,HKD +80,-24,-,-,+4,-1,-,-,-,1,1,0,-,2.137,500 (250),Knocks down on Counter-hit (KD +40) and Punish Counter (HKD +80) with follow-up juggles possible on airborne opponents (limited juggle state); 1f extra recovery on block; forces stand; long range poke that can anti-air near its max range (but is likely to lose or trade due to poor hitbox priority); extends a hurtbox 1f before active that is vulnerable to projectiles
blanka,blanka_012_2_hk,Crouching Heavy Kick,2HK,normals,-,-,15,13,HKD +46,-25,-,-,KD +25,-8,-,-,-,1,1,5,-,1.865,500 (250),Has juggle potential even without Drive Rush
blanka,blanka_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,9,9,+7(+13),-8 (-2),-,-,-,-,-,-,-,1,1,0,-,1.49 (1.19),150 (75),Decent air-to-air
blanka,blanka_014_j_lk,Jumping Light Kick,j.LK,normals,-,13,9,9,+9(+13),-6 (-2),-,-,-,-,-,-,-,1,1,0,-,1.40,150 (75),Decent air-to-air
