character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
chunli,chunli_001_5_lp,Standing Light Punch,5LP,normals,13,15,7,9,+9,-8,+4,-3,+9,+1,-,-,-,1,1,0,-,1.05,150 (75),Chains into 5LP/2LP/2LK; combos naturally to 5MP; Stance Cancel: -1/-8; special/DR cancel is delayed until after 2nd active frame
chunli,chunli_002_5_lk,Standing Light Kick,5LK,normals,13,15,11,9,+6,-11,+4,0,+6,+2,-,-,-,1,1,0,-,1.13,150 (75),Stance Cancel: 0/-3; DR cancel is delayed until after 2nd active frame
chunli,chunli_003_5_mp,Standing Medium Punch,5MP,normals,16,20,15,11,+10,-12,+8,+3,+10,+5,-,-,-,1,1,0,-,0.803,300 (150),Good combo/frame trap starter; Stance Cancel: +3/-1; special/DR cancel is delayed until after 3rd active frame
chunli,chunli_004_5_mk,Standing Medium Kick,5MK,normals,16,24,18,11,+8,-18,+14,+8,+8,+2,-,-,-,1,1,0,-,0.73,350 (175),Cannot hit crouching opponents; good anti-air (cannot hit cross-up); Stance Cancel: +9/+4
chunli,chunli_005_5_hp,Standing Heavy Punch,5HP,normals,19 (stance),25,20,13,+6,-21,-,-,+6,0,-,-,-,1,1,0,-,1.756 (1.697),400 (200),"Great long-ranged poke and whiff punish tool; cancelable into Stance and can input follow-ups after 16f; combos naturally to Stance LP if close enough, or stance MK/HK on Punish Counter; Stance Cancel: +6/+1 into follow-up, -4/-9 into blocking"
chunli,chunli_006_5_hk,Standing Heavy Kick,5HK,normals,18 (stance),25,21,13,+8,-19,-,-,+8,+4,-,-,-,1 air [0 PC Air],1,0,-,1.841,500 (250),"Cannot hit crouching opponents; slow but rewarding mid-range anti-air (leg/head are invulnerable to airborne strikes 14-16f); cannot hit cross-up; puts airborne opponents into limited juggle state; Stance Cancel: +10/+6 into follow-up, -3/-7 into blocking"
chunli,chunli_007_2_lp,Crouching Light Punch,2LP,normals,13,14,8,9,+8,-8,+4,-2,+8,+2,-,-,-,1,1,0,-,0.91,150 (75),Chains into 5LP/2LP/2LK; Stance Cancel: -1/-6
chunli,chunli_008_2_lk,Crouching Light Kick,2LK,normals,12,12,10,9,+4,-10,+2,0,+4,+2,-,-,-,1,1,0,-,0.85,150 (75),Chains into 5LP/2LP/2LK; fully cancelable (rare for a 2LK); Stance Cancel: -3/-4
chunli,chunli_009_2_mp,Crouching Medium Punch,2MP,normals,16,21,15,11,+8,-15,+11,+5,+8,+2,-,-,-,1,1,0,-,1.10,300 (150),1f extra recovery on whiff; decent range and hitbox disjoint for a poke; Stance Cancel: +6/+1; topmost hurtbox on frames 1-9 is vulnerable only to aerial strikes (preventing its use as an anti-air)
chunli,chunli_010_2_mk,Crouching Medium Kick,2MK,normals,13,20,16,9,+2,-20,+8,+4,+2,-2,-,-,-,1,1,0,-,1.477,250 (125),Good range for a cancelable low poke; Stance Cancel: +5/+2; Range: 1.477; DR cancel is delayed until after active frames
chunli,chunli_012_2_hk,Gen Assassin Kick,2HK,normals,29 (stance),-,18,13,HKD +48,-25,-,-,KD +40,-5,-,-,-,1,1,0,-,1.715,500 (250),"2f extra recovery on block; more active frames than most sweeps (can be as safe as -4 with meaty timing); puts airborne opponents into limited juggle state (can juggle after late anti-air 2HK); Stance Cancel: KD/-11 into follow-up, KD/-21 into blocking"
chunli,chunli_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,10,9,+8(+13),-7 (-2),-,-,-,-,-,-,-,1,1,0,-,0.85,150 (75),Fast downward-angled air-to-air; can be used as a fuzzy instant overhead vs. Dee Jay/JP/Marisa/Zangief
chunli,chunli_014_j_lk,Jumping Light Kick,j.LK,normals,-,13,10,9,+11(+13),-4 (-2),-,-,-,-,-,-,-,1,1,0,-,0.62,150 (75),Fast upward-angled air-to-air
chunli,chunli_016_j_mk,Jumping Medium Kick,j.MK,normals,-,17,13,11,+11(+17),-8 (-2),-,-,-,-,-,-,-,1,1,0,-,1.02,250 (125),Cross-up; lower body projectile invuln 6-20f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
chunli,chunli_021_4_hp,Hakkei,4HP,command_normals,19 (20 stance),25,19,13,+9,-18,+15,+9,+9,+3,-,-,-,1,1,0,-,0.97,500 (250),"Short range combo and frame trap tool; high active frame count makes it amazing as a meaty option; Stance Cancel: +9/+3 into follow-up, -5/-11 into blocking"
chunli,chunli_022_3_hp,Water Lotus Fist,3HP,command_normals,18 (stance),20,15,13,+6,-16,-,-,+6,+1,-,-,-,1,1,0,-,1.40,500 (250),"Stance Cancel: +3/-2 into follow-up, -5/-10 into blocking; 1-8f crouching state; does not allow a follow-up link (except for Punish Counter 3HP into Stance LP); puts airborne opponent into limited juggle state (e.g. after Wallsplat)"
chunli,chunli_023_6_hk,Yokusen Kick,6HK,command_normals,20 (stance),24,21,13,KD +72 Crumple,-23,-,-,+3,0,-,-,8-28 (FKD),0 air [-1 PC Ground],0,1,-,1.897,500 (250),"Punish Counter crumple state can lead to Stance HK launch or Stance LP grounded combo; causes spinning free juggle state on Punish Counter vs. airborne opponents; great hitbox priority; Stance Cancel: +2/-1 into follow-up, -6/-9 into blocking; extends a lower-body hurtbox 1f before active that is vulnerable to projectiles"
chunli,chunli_024_3_hk,Falling Crane,3HK,command_normals,-,22,20,13,+11,-13,-,-,+11,+7,-,-,7-39 (FKD),1,1,0,-,-,500 (250),Side-switching overhead; can only hit cross-up (does not work on fully cornered opponents); puts airborne opponents into limited juggle state; 1f better hit advantage vs. most crouching characters; has extremely long range when performed out of Drive Rush
chunli,chunli_030_lp,Orchid Palm,214P~LP,command_normals,15,19,18,9,+2 (-18),-37,+6,+5,-,-,-,-,-,1,1,0,-,0.84,150 (75),"No charge required to cancel into Kikoken or Spinning Bird Kick; [] refers to recovery when exiting Serenity Stream; slight low profile for entire move duration; special/DR cancel is delayed until after 4th active frame; on Perfect Parry, Chun-Li is forced to exit the stance (2f less total recovery on PP) and is in a Punish Counter state during the entire stance exit animation; when automatically transitioning into Stance Exit, Chun-Li can block for the first 2 transition frames (except on Perfect Parry)"
chunli,chunli_031_mp,Snake Strike,214P~MP,command_normals,-,-,16,11,KD +34(+45) [KD +21(+32)],[-42(-31)],-,-,-,-,-,-,-,1,1,0,-,2.30 (1.753),150 (75),"Low profile/upper body projectile invuln: 1-31f (exit stance) / 1-36f (remain crouched); extra-low profile 8-21f (can even go under Drive Impact); [] refers to recovery when exiting Serenity Stream; () refers to KD Adv. when exiting Serenity Stream on hit; on Perfect Parry, Chun-Li is forced to exit the stance and is in a Punish Counter state during the entire stance exit animation (1f worse PP disadvantage if she holds downback); the final active frame does not move forward (can only achieve the highest frame advantage with meaty timing, not with spacing)"
chunli,chunli_033_lk,Forward Strike,214P~LK,command_normals,15,18,14,9,+4 (-19),-34,+8,+4,-,-,-,-,-,1,1,0,-,1.519 (1.493),150 (75),"No charge required to cancel into Kikoken or Spinning Bird Kick; [] refers to recovery when exiting Serenity Stream; on Perfect Parry, Chun-Li is forced to exit the stance (5f less total recovery on PP) and is in a Punish Counter state during the entire stance exit animation; when automatically transitioning into Stance Exit, Chun-Li can block for the first 5 transition frames (except on Perfect Parry)"
chunli,chunli_034_mk,Senpu Kick,214P~MK,command_normals,18,24,18,11,+1 (-23),-43,+11,+5,-,-,-,-,-,1,1,5,-,1.715,500 (250),"No charge required to cancel into Kikoken or Spinning Bird Kick; [] refers to recovery when exiting Serenity Stream; puts airborne opponents into limited juggle state; special/DR cancel is delayed until after 4th active frame; on Perfect Parry, Chun-Li is forced to exit the stance (6f less total recovery on PP) and is in a Punish Counter state during the entire stance exit animation; when automatically transitioning into Stance Exit, Chun-Li can block for the first 6 transition frames (except on Perfect Parry)"
chunli,chunli_035_hk,Tenku Kick,214P~HK,command_normals,30 (jump),-,20,11,KD +41,-27,-,-,-,-,-,-,-,1,1,0,-,1.09,150 (75),Jump cancelable on hit only; puts opponent into limited juggle state; exits Serenity Stream upon use; 1-6f crouching state
chunli,chunli_053_2_1_4_lk,Hazanshu,214LK,specials,16*,23,18,13,KD +21,-21,-,-,-,-,-,-,5-20 (FKD),1 air,1,5,-,2.512,600 (300),Crouching state during recovery; cannot hit cross-up; safe overhead vs. Burnout and can be spaced safely at max range depending on the opponent's 5-frame normal range; SA3 cancel does not combo (but still useful for chip damage or reacting to armor); gives a very short OTG bounce when juggled into for improved KD advantage (not enough for SA3 cancel to connect)
chunli,chunli_054_2_1_4_mk,Hazanshu,214MK,specials,17,21,16,13,+6,-17,-,-,-,-,7-21 Lower Body Projectile,-,6-24 (FKD),1 air,1,1,-,3.084,600 (300),Crouching state during recovery; cannot hit cross-up
chunli,chunli_055_2_1_4_hk,Hazanshu,214HK,specials,17,27,18,13,+10,-19,-,-,-,-,7-26 Lower Body Projectile,-,6-29 (FKD),1 air,1,1,-,3.549,600 (300),2f extra recovery on whiff; crouching state during recovery; cannot hit cross-up
chunli,chunli_056_2_1_4_k_k,Hazanshu,214KK,specials,20,-,14,16,KD +52 OTG,-17,-,-,-,-,"7-21 Lower Body Projectile, 22-28 Projectile",-,6-23 (FKD),0 ground / 1 air,1,1,-,3.090,600 (300),Bounces for an OTG juggle state on hit; crouching state during recovery; cannot hit cross-up
chunli,chunli_061_2_3_6_2_3_6_p,Kikosho,236236P,super_arts,-,-,66 total,9x4.10,KD +22,-35,-,-,-,-,1-7 Strike/Throw,Break,-,1,"1x4,99",99x5,-,-,-10000,5-hit Super projectile; can hit cross-up (behind Chun-Li)
chunli,chunli_067_4_lplk,Taiji Fan,4LPLK,throws,-,-,-,-,HKD +13,-,-,-,-,-,-,-,-,-,-,-,-,0.80,-,"Side switches; in the corner, does not allow true strike/throw oki without Drive Rush; a successful Throw Escape builds 1 Drive bar and 1000 Super gauge (10% bar); Throw Escape is awarded to a random player if input simultaneously"
