character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
cammy,cammy_001_5_lp,Standing Light Punch,5LP,normals,13,15,8,9,+9,-8,+4,-3,+9,+2,-,-,-,1,1,0,-,1.05,150 (75),Chains into 5LP/2LP/2LK; extended hurtbox appears for 2f before active; DR cancel is delayed until after 2nd active frame
cammy,cammy_002_5_lk,Standing Light Kick,5LK,normals,13,15,10,9,+6,-11,+4,-1,+6,+1,-,-,-,1,1,0,-,1.27,150 (75),Good range for 5f punishes and light conversions; extended hurtbox appears for 2f before active; special cancel is delayed until after active frames (prevents OD Spiral Arrow combo); DR cancel is delayed until after 2nd active frame
cammy,cammy_003_5_mp,Standing Medium Punch,5MP,normals,-,23,16,11,+10,-15,-,-,+10,+3,-,-,-,1,1,0,-,1.04,250 (125),"Can get frame advantage with meaty timing and leads to good conversions on counter-hit; decent Drive Rush starter (links to 5HP on hit, frame traps into itself) but doesn't carry much forward momentum; extended hurtbox remains for 4f after active frames"
cammy,cammy_004_5_mk,Standing Medium Kick,5MK,normals,-,24,17,11,+7,-19,-,-,+7,0,-,-,-,1,1,0,-,1.57,350 (175),"Great ranged poke, vulnerable to DI if predicted; extended hurtbox remains for 7f after active frames, making it somewhat more whiff punishable"
cammy,cammy_005_5_hp,Standing Heavy Punch,5HP,normals,17 Sp / 19 TC,25,20,13,+6,-21,+15,+10,+6,+1,-,-,-,1,1,0,-,1.39,500 (250),"Great disjointed hitbox; moves Cammy far forward during startup, giving it good range but making it easier to whiff punish; good Drive Rush starter (good momentum, links into 4MP~HK if close enough or frame traps into 5LP/2LP)"
cammy,cammy_006_5_hk,Standing Heavy Kick,5HK,normals,-,24,19,13,KD +44,-20,-,-,+6,+1,-,-,-,1,10,10,-,1.879,600 (300),"2f extra recovery on whiff; great ranged poke; Punish Counter knockdown does not lead to follow-up combo, but gives great corner carry; extends a hurtbox 1f before active that is vulnerable to projectiles; crouch-sized hurtbox on frames 1-28; particularly vulnerable to Drive Impact in neutral; can anti-air some long range jump-ins; has high juggle potential (causes air reset when juggled into)"
cammy,cammy_007_2_lp,Crouching Light Punch,2LP,normals,12,15,8,9,+9,-8,+4,-3,+9,+2,-,-,-,1,1,0,-,1.05,150 (75),Chains into 5LP/2LP/2LK; extended hurtbox appears for 2f before active; DR cancel is delayed until after active frames
cammy,cammy_008_2_lk,Crouching Light Kick,2LK,normals,-,13,8,9,+7,-8,-,-,+7,+2,-,-,-,1,1,0,-,1.14,150 (75),Chains into 5LP/2LP/2LK; low hitconfirm starter; extended hurtbox appears for 2f before active and remains 5f after active
cammy,cammy_009_2_mp,Crouching Medium Punch,2MP,normals,15,22,15,11,+9,-15,+12,+5,+9,+2,-,-,-,1,1,0,-,1.335,250 (125),Good counterpoke and useful combo filler after 2HP or CH 5LP/2LP/5MP; 3f extra recovery on whiff; extends a wide hurtbox during recovery on whiff
cammy,cammy_010_2_mk,Crouching Medium Kick,2MK,normals,13,22,16,9,+5,-19,+10,+4,+5,-1,-,-,-,1,1,0,-,1.49,250 (125),Great ranged cancelable low poke; very useful when canceled to DR; extended hurtbox appears for 1f before active and remains 6f after active; special/DR cancel is delayed until after active frames; Range: 1.49
cammy,cammy_011_2_hp,Crouching Heavy Punch,2HP,normals,-,26,20,13,+11,-17,-,-,+11,+5,-,-,-,1,1,0,-,1.08,500 (250),"Forces stand; Good for starting pressure, especially with meaty timing (236HK + Dash 2HP sets gives enough advantage to link 5HP); extended hurtbox appears for 2f before active; situationally useful anti-air"
cammy,cammy_012_2_hk,Grounded Sweep,2HK,normals,-,-,17,13,HKD +43,-25,-,-,KD +38,-6,-,-,-,1,3,3,-,1.73,500 (250),Disjointed hitbox gives it some neutral utility; has juggle potential (KD +37~39); extended hurtbox remains for 6f after active frames
cammy,cammy_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,9,9,+10(+13),-5 (-2),-,-,-,-,-,-,-,1,1,0,-,0.65,150 (75),Quick air-to-air
cammy,cammy_014_j_lk,Jumping Light Kick,j.LK,normals,-,14,10,9,+10(+14),-6 (-2),-,-,-,-,-,-,-,1,1,0,-,0.52,150 (75),Cross-up; can be used as a fuzzy instant overhead (except vs. Blanka)
cammy,cammy_015_j_mp,Jumping Medium Punch,j.MP,normals,-,17,8,11,+14(+17),-5 (-2),-,-,-,-,-,-,-,1,4,1,-,0.80,250 (125),"Puts airborne opponents into limited juggle state; cancels into j.214K/j.214214P on forward jump only; low blockstun means there will always be a blockstring gap if canceled; lower body projectile invuln 6-28f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
cammy,cammy_016_j_mk,Jumping Medium Kick,j.MK,normals,-,17,13,11,+16(+17),-3(-2),-,-,-,-,-,-,-,1,1,0,-,1.16,350 (175),"Long hitbox can work as a ranged air-to-air; lower body projectile invuln 7-30f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
cammy,cammy_017_j_hp,Jumping Heavy Punch,j.HP,normals,-,19,15,13,+12(+19),-9 (-2),-,-,-,-,-,-,-,1,3,3,-,0.80,500 (250),Causes spike knockdown vs. airborne opponents; good hitbox disjoint near Cammy's fists; lower body projectile invuln 8-35f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
cammy,cammy_018_j_hk,Jumping Heavy Kick,j.HK,normals,-,19,15,13,+15(+19),-6 (-2),-,-,-,-,-,-,-,1,1,0,-,1.16,500 (250),"Good jump-in from long range, especially mixed with empty jump or j.214K to bait anti-airs; can air-to-air from long range; lower body projectile invuln 10-35f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)"
cammy,cammy_019_4_mp,Lift Uppercut,4MP,command_normals,17,21,16,11,+8,-15,+11,+6,+8,+3,-,-,-,1,1,0,-,0.826,250 (125),Forces stand (required for 4MP~HK TC); useful anti-air starting on frame 6 but can often trade or whiff against close jumps; extended arm hurtbox on active frames 3-5 is anti-air invulnerable; combos naturally from 5LP/2LP/5MP at close range
cammy,cammy_021_4_hk,Assault Blade,4HK,command_normals,17,-,14,13,KD +54,-19,KD +65,+4,Free Juggle,-3,-,-,-,1,1,0,-,1.09,500 (250),Whiffs on crouching opponents; jump cancelable on hit only; puts opponents into limited juggle state on hit (free juggle if started from Drive Rush)
cammy,cammy_022_4_mp_hk,Lift Combination,4MP~HK,command_normals,37~41,-,14,13,-,-,KD +65,+4,-,-,-,-,-,1,1,0,-,-,350 (175),"Whiffs on crouch blocking opponents (works on crouching hit because 4MP forces stand); jump cancelable on hit only; puts opponent into limited juggle state; has 5f more recovery than 4HK on its own, resulting in more limited juggle follow-ups"
cammy,cammy_024_2_3_6_lk,Spiral Arrow,236LK,specials,-,-,22,13,KD +26(+48),-32(-20),-,-,-,-,9-24 Throw,-,9-24 (FKD),1,1,3,-,2.574 (1.417),500 (250),"Can be spaced safely; useful in corner juggle routes after 5HP~HK, DR~4HK > 4HK, or blocked Drive Impact"
cammy,cammy_025_2_3_6_mk,Spiral Arrow,236MK,specials,-,-,22,13,KD +26(+48),-34(-20),-,-,-,-,9-26 Throw,-,9-26 (FKD),1,3,3,-,3.051 (1.417),400 (200),Can be spaced safely; best version for buffers in neutral; useful in corner juggle routes into 623K
cammy,cammy_029_6_2_3_lk,Cannon Spike,623LK,specials,-,-,16,12(13),KD +20,-50,-,-,-,-,1-14 Air,-,7-40 (FKD),1,40,4/40,-,0.88 (1st),500 (250),Shortest horizontal range (good close-range anti-air but can whiff in grounded combos); () refers to damage and juggle limit on active frames 3-12; SA3 cancel whiffs on hit; cannot anti-air cross-ups
cammy,cammy_030_6_2_3_mk,Cannon Spike,623MK,specials,-,-,16,12(13),KD +21,-50,-,-,-,-,1-9 Air,-,8-42 (FKD),1,40,4/40,-,1.30 (1st),500 (250),Medium horizontal range (good all-purpose anti-air and juggle ender); () refers to damage and juggle limit on active frames 3-12; SA3 cancel whiffs on hit; cannot anti-air cross-ups
cammy,cammy_031_6_2_3_hk,Cannon Spike,623HK,specials,-,-,16,12(13),KD +22,-50,-,-,-,-,1-8 Air,-,9-46 (FKD),1,40,4/40,-,1.05 (1st),500 (250),Longest horizontal range (good for long range anti-airs and neutral jumps; best grounded combo ender); () refers to damage and juggle limit on active frames 3-12; SA3 cancel whiffs on hit; cannot anti-air cross-ups
cammy,cammy_032_6_2_3_hk,Cannon Spike,623[HK],specials,12,-,16,"10,5,5,5,13 (13)",KD +16,-54,-,-,-,-,"1-7 Air, 20-25 Full",-,26-64 (FKD),1x5,"1,0x3,40","4/40,40x4",-,1.09 (1st),300 (150),"Long horizontal range (but can drop when canceled from 5HP outside close range); () refers to damage and juggle limit on active frames 5-12 (becomes 1 hit if these frames connect); switches sides on hit; first hit can successfully juggle to SA3; holding HK for 15-16f results in a full charge up to 2f faster (full invuln window shifts 2f earlier, and allows it to combo from CH 2MP); cannot anti-air cross-ups"
cammy,cammy_033_6_2_3_k_k,Cannon Spike,623KK,specials,-,-,16,"10,5,5,5,13 (13)",KD +19,-54,-,-,-,-,1-7 Full,-,8-47 (FKD),1x5,"1,0x3,40","4/40,40x4",-,1.04 (1st),300 (150),Long horizontal range (good for punishes and long range anti-airs); () refers to damage and juggle limit on active frames 4-12 (becomes 1 hit); cannot anti-air cross-ups
cammy,cammy_034_2_1_4_lp,Quick Spin Knuckle,214LP,specials,18,22,17,13,+6,-18,-,-,-,-,-,-,-,1 air,3,1,-,2.131,400 (200),Puts airborne opponents into limited juggle state (keeps opponents closer than other versions and has some juggle potential); good frame trap from 5HP (2f gap) that leads to Counter-hit confirm
cammy,cammy_035_2_1_4_mp,Quick Spin Knuckle,214MP,specials,18,23,18,13,+7,-18,-,-,-,-,9-23 Projectile,-,-,1 air,3,0,-,2.760,400 (200),Puts airborne opponents into limited juggle state
cammy,cammy_036_2_1_4_hp,Quick Spin Knuckle,214HP,specials,18,26,24,13,+9,-19,-,-,-,-,9-27 Projectile,-,-,1 air,3,0,-,3.360,400 (200),Puts airborne opponents into limited juggle state
cammy,cammy_037_2_1_4_p_p,Quick Spin Knuckle,214PP,specials,18,28,19,13,+11,-19,-,-,-,-,9-24(20) Projectile,-,-,1 air,3,0,-,3.290,400 (200),No collision box on frames 1-10 (can cross-up from close range); puts airborne opponents into limited juggle state
cammy,cammy_046_k,Hooligan Cannon Strike,236P~K,specials,-,22,16,13,+3 (+13),-20(-12),-,-,-,-,-,-,Until Land (FKD),1 air,10,10,-,-,400 (200),"Startup refers to earliest timing from Hooligan; button strength affects divekick trajectory (LK short, MK medium, HK far); spike knockdown vs. airborne opponents; autocorrects toward opponent after crossing over"
cammy,cammy_047_k,Hooligan Cannon Strike,236[HP]~K,specials,-,22,18,13,+3 (+13),-16(-11),-,-,-,-,-,-,Until Land (FKD),2 air,2,5,-,-,400 (200),Startup refers to earliest timing from Hooligan; button strength does not affect divekick trajectory; puts airborne opponents into limited juggle state; autocorrects toward opponent after crossing over; can be up to 2f faster if HP is held for only 18f
cammy,cammy_048_k,Hooligan Cannon Strike,236PP~K,specials,19,22,18,13,+3 (+13),-16(-11),-,-,-,-,-,-,Until Land (FKD),2 air,2,5,-,-,400 (200),Startup refers to earliest timing from Hooligan; button strength does not affect divekick trajectory; puts airborne opponents into limited juggle state; autocorrects toward opponent after crossing over
