character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
jp,jp_001_5lp,Standing Light Punch,5LP,normals,13,17,11,9,+8,-11,+6,0,+8,+2,-,-,-,1,1,0,-,1.22,150 (75),Chains into 5LP/2LP/2LK; DR cancel is delayed until after 2nd active frame
jp,jp_002_5lk,Standing Light Kick,5LK,normals,13,17,12,9,+7,-12,+6,+1,+7,+2,-,-,-,1,1,0,-,1.12,150 (75),DR cancel is delayed until after 2nd active frame
jp,jp_003_5mp,Standing Medium Punch,5MP,normals,15 (214HP),25,18,11,+5,-22,-,-,+5,-2,-,-,-,1,1,0,-,1.90,350 (125),Long-range poke with great hitbox priority; cancelable into 214HP projectile when Departure portal is active
jp,jp_004_5mk,Standing Medium Kick,5MK,normals,15,25,19,11,+7,-20,+13,+7,+7,+1,-,-,-,1,1,0,-,1.47,350 (125),Cancelable poke and combo tool; special/DR cancel is delayed until after active frames; foot hurtbox does not extend until frame 11 (useful vs. low pokes)
jp,jp_005_5hp,Standing Heavy Punch,5HP,normals,16 (23 PC),27,21,13 (20 PC),+25 Stagger,-22,+17,+11,+7,+1,-,-,-,1,4,4,-,1.58,500 (250),"JP's main combo/juggle/punish tool (essentially a cancelable version of 5MP with less range); Punish Counter allows a 1-bar Drive Rush follow-up, or a cancel into 214PP with enough frame advantage to link 2MP afterwards; has juggle potential even without Drive Rush; puts airborne opponents into a limited juggle state; extends a large hurtbox 1f before active that is vulnerable to projectiles; hurtbox is extended horizontally during all active and recovery frames for easier whiff punishability"
jp,jp_006_5hk,Standing Heavy Kick,5HK,normals,18 TC / 214HP,28,23,13,+11,-19,-,-,+11,+6,"9-15 Air (Head), 12-17 Air (Leg)",-,-,1,1,0,-,1.62,500 (250),Useful anti-air and combo/pressure starter with a confirmable Target Combo follow-up; whiffs on crouching opponents from farther away unless they extend a vertical hurtbox; pushback on block keeps JP out of throw range even after Drive Rush; cancelable into 214HP projectile when Departure portal is active
jp,jp_007_2lp,Crouching Light Punch,2LP,normals,12,17,12,9,+8,-11,+6,+1,+8,+3,-,-,-,1,1,0,-,1.07,150 (75),"Chains into 5LP/2LP/2LK; JP's only 4f normal, making it an important defensive option; DR cancel is delayed until after 2nd active frame; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
jp,jp_008_2lk,Crouching Light Kick,2LK,normals,12 (214HP),14,10,9,+6,-10,-,-,+6,+2,-,-,-,1,1,0,-,1.19,150 (75),Chains into 5LP/2LP/2LK; cancelable into 214HP projectile when Departure portal is active
jp,jp_009_2mp,Crouching Medium Punch,2MP,normals,16,24,16,11,+10,-16,+11,+3,+10,+2,-,-,-,1,1,0,-,1.22,350 (125),Good poke and combo/buffer tool; special/DR cancel is delayed until after active frames; has an extended hurtbox on whiff until the end of recovery; topmost hurtbox on frames 1-10 is vulnerable only to aerial strikes (preventing its use as an anti-air)
jp,jp_010_2mk,Crouching Medium Kick,2MK,normals,15 (214HP),23,17,11,+7,-18,-,-,+7,+1,-,-,-,1,1,0,-,1.74,350 (125),"Long range low poke that moves JP forward; after Drive Rush or Punish Counter, can confirm into 2MP; has an extended hurtbox on whiff until the end of recovery; cancelable into 214HP projectile when Departure portal is active"
jp,jp_011_2hp,Crouching Heavy Punch,2HP,normals,20,27,20,13,+5,-24,+17,+10,+5,-2,-,-,-,1,4,6,-,0.87,500 (250),"Solid anti-air but cannot hit cross-up; arm hurtbox is anti-air invuln on active frames 2-6; very short horizontal range; fastest of JP's heavy normals, making it useful in some Drive Rush combo routes; high juggle potential even without Drive Rush"
