character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
ehonda,ehonda_001_5_lp,Standing Light Punch,5LP,normals,13 (18 TC),17,12,9,+8,-11,+7,+2,+8,+3,-,-,-,1,1,0,-,1.28,150 (75),Good range for a light normal; very lenient hitconfirm window into 5LP~MP Target Combo for a light normal (though the MP can whiff at max range)
ehonda,ehonda_002_5_lk,Standing Light Kick,5LK,normals,12,16,10,9,+9,-9,+6,0,+9,+3,-,-,-,1,1,0,-,1.12,150 (75),"4f normal with less range than 2LP, but allows a link into 5LP on hit"
ehonda,ehonda_003_5_mp,Standing Medium Punch,5MP,normals,16,23,18,11,+10,-15,+13,+8,+10,+5,-,-,-,1,1,0,-,1.687,250 (125),"2f extra recovery on whiff; good poke and pressure starter due to its hitbox priority, distance traveled, and block advantage"
ehonda,ehonda_004_5_mk,Standing Medium Kick,5MK,normals,16*,24,17,11,+8,-18,-,-,+8,+1,-,-,-,1,1,0,-,1.543,350 (175),"No leg hurtbox (except for back foot) on frames 7-13, making it useful vs. low pokes; cancelable into 214P with Sumo Spirit enhancement (combos into any strength version)"
ehonda,ehonda_005_5_hp,Standing Heavy Punch,5HP,normals,16 (17 SS 214P),27,20,13,KD +77(+80) Crumple,-24(-21),+17,+10,+5(+8),-2 (+1),8-10 Air (Upper Body),-,-,-1 PC ground / 0 PC air,1,0,-,1.46 (0.97),500 (250),"1st active frame only hits above Honda, and 2nd active frame only hits point blank (realistically 10f startup vs. grounded opponents in most scenarios); first 3 active frames are cancelable and a solid anti-air (cannot hit cross-up); Punish Counter causes a crumple vs. grounded opponents, or slams airborne opponents down into a free OTG juggle state (5HP must be canceled to combo afterwards); only the first 3 active frames are cancelable (with Sumo Spirit, later active frames can be canceled into 214P); final 4 active frames make 5HP a solid poke in neutral; extends a hurtbox on frame 10 (1f before longer-range active frames) that is vulnerable to projectiles; special/DR cancel is delayed until after 2nd active frame; Honda's most important meterless route into 236K~2P launcher (higher damage and identical range compared to 5HK 1st hit)"
ehonda,ehonda_007_2_lp,Crouching Light Punch,2LP,normals,13,17,12,9,+8,-11,+7,+2,+8,+3,-,-,-,1,1,0,-,1.23,150 (75),Chains into 2LP/2LK; true blockstring when chained into 2LP; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)
ehonda,ehonda_008_2_lk,Crouching Light Kick,2LK,normals,12,14,8,9,+7,-9,-,-,+7,+1,-,-,-,1,1,0,-,1.11,150 (75),Chains into 2LP/2LK; cancelable into 214P with Sumo Spirit enhancement (combos into LP version only)
ehonda,ehonda_009_2_mp,Crouching Medium Punch,2MP,normals,16,23,17,11,+7,-18,+13,+7,+7,+1,-,-,-,1,1,0,-,1.37,250 (125),Great bufferable poke with strong hitbox priority; topmost hurtbox on frames 1-11 is vulnerable only to aerial strikes (preventing its use as an anti-air)
ehonda,ehonda_010_2_mk,Crouching Medium Kick,2MK,normals,15,26,18,11,+10,-18,-,-,+10,+2,-,-,-,1,1,0,-,1.43,300 (150),Low poke that can combo after hit (much stronger combo opportunities when used out of Drive Rush); cancelable into 214P with Sumo Spirit enhancement (combos into any strength version)
ehonda,ehonda_011_2_hp,Crouching Heavy Punch,2HP,normals,18*,24,18,13,+7(+9),-19(-17),-,-,+7(+9),+1(+3),-,-,-,1,1,0,-,1.917 (1.75),500 (250),2f extra recovery on whiff or if armor absorbed; not a low attack despite the animation; can be spaced to hit on later active frames for improved advantage; cancelable into 214P with Sumo Spirit enhancement (combos into any strength version)
ehonda,ehonda_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,9,9,+7(+13),-8 (-2),-,-,-,-,-,-,-,1,1,0,-,1.31,150 (75),Strong horizontal jump-in hitbox; can be used as a fuzzy instant overhead
ehonda,ehonda_014_j_lk,Jumping Light Kick,j.LK,normals,-,14,10,9,+9(+14),-7 (-2),-,-,-,-,-,-,-,1,1,0,-,0.53,150 (75),Cross-up
