character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
rashid,rashid_001_5_lp,Standing Light Punch,5LP,normals,12,15,10,9,+8,-9,+5,0,+8,+3,-,-,-,1,1,0,-,1.11,150 (75),Chains into 5LP/2LP/2LK
rashid,rashid_002_5_lk,Standing Light Kick,5LK,normals,13,16,12,9,+7,-11,+4,0,+7,+3,-,-,-,1,1,0,-,1.01,150 (75),Highest hitstun light normal makes it useful for special cancels (the only light normal that can combo into 214LK naturally); DR cancel is delayed until after active frames
rashid,rashid_003_5_mp,Standing Medium Punch,5MP,normals,15,22,18,11,+9,-15,+12,+8,+9,+5,-,-,-,1,1,0,-,1.132,250 (125),Useful for starting combos and block pressure; has a Target Combo follow-up that can be canceled into 236LP for safety on block or into higher damage routes on hit
rashid,rashid_004_5_mk,Standing Medium Kick,5MK,normals,-,26,17,11,+10,-18,-,-,+10,+1,-,-,-,1,1,0,-,1.578,350 (175),Combo starter that links into 5MP or into itself on counter-hit; 2 extra recovery frames on whiff
rashid,rashid_005_5_hp,Standing Heavy Punch,5HP,normals,17,25,20,13,+5,-22,+14,+9,+5,0,-,-,-,1,1,0,-,1.449,500 (250),Decent mid-range button with a strong hitbox for counterpoking; can combo to 214HK after Drive Rush or Punish Counter; special/DR cancel is delayed until after 2nd active frame
rashid,rashid_007_2_lp,Crouching Light Punch,2LP,normals,13,15,9,9,+9,-8,+4,-2,+9,+3,-,-,-,1,1,0,-,1.02,150 (75),Chains into 5LP/2LP/2LK; DR cancel is delayed until after 2nd active frame; topmost hurtbox on frames 1-7 is vulnerable only to aerial strikes (preventing its use as an anti-air)
rashid,rashid_008_2_lk,Crouching Light Kick,2LK,normals,-,14,10,9,+7,-9,-,-,+7,+3,-,-,-,1,1,0,-,1.10,150 (75),Chains into 5LP/2LP/2LK
rashid,rashid_009_2_mp,Crouching Medium Punch,2MP,normals,16,21,18,11,+8,-15,+11,+8,+8,+5,-,-,-,1,1,0,-,1.168 (0.877),250 (125),Combo and pressure tool with many active frames for easy oki; can anti-air on frames 7-9 but cannot hit opponents behind Rashid; whiffs on crouching opponents at longer ranges unless they extend a vertical hurtbox
rashid,rashid_010_2_mk,Crouching Medium Kick,2MK,normals,13,20,16,9,+3,-19,+8,+4,+3,-1,-,-,-,1,1,0,-,1.405,300 (150),Standard cancelable low poke; Range: 1.405; DR cancel is delayed until after active frames
rashid,rashid_011_2_hp,Crouching Heavy Punch,2HP,normals,17 (SA),29,18,13,+9,-22,-,-,+9,-2,-,-,-,1,1,0,-,1.748 (1.663),500 (250),"Decent poke that can be buffered into supers; good close range Punish Counter starter (combos into 5HP), but high pushback makes it less reliable at longer ranges; 2 extra recovery frames on whiff; topmost hurtboxes on frames 8-14 are projectile invincible (avoids Sagat's MP/HP Tiger Shot)"
rashid,rashid_012_2_hk,Cyclone Slicer,2HK,normals,-,-,18,13,HKD +47,-27,-,-,KD +31,-7,-,-,-,1,1,4,-,1.711,500 (250),Can be juggled into even without Drive Rush; 4f extra recovery on block; disadvantage on block is fixed regardless of which active frame connects (cannot make it safer when meaty)
rashid,rashid_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,9,9,+12(+13),-3(-2),-,-,-,-,-,-,-,1,1,0,-,0.85,150 (75),Quick air-to-air
