character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
lily,lily_001_5_lp,Standing Light Punch,5LP,normals,13,17,10,9,+10,-9,+6,-1,+10,+3,-,-,-,1,1,0,-,1.23,150 (75),Chains into 5LP/5LK/2LP/2LK; more damage than other light attacks; DR cancel is delayed until after 2nd active frame
lily,lily_002_5_lk,Standing Light Kick,5LK,normals,13,16,10,9,+9,-13,+6,0,+9,+3,-,-,-,1,1,0,-,0.82,150 (75),Chains into 5LP/5LK/2LP/2LK; true blockstring when chained from 2LK; Lily's fastest button but incredibly short range
lily,lily_003_5_mp,Standing Medium Punch,5MP,normals,-,22,17,11,+5,-19,-,-,+5,0,-,-,-,1,1,0,-,1.72 (1.58),250 (125),Strong poke with great range and hitbox priority; no head hurtbox on frames 8-25
lily,lily_004_5_mk,Standing Medium Kick,5MK,normals,15,20,17,11,+6,-16,+10,+7,+6,+3,-,-,-,1,1,0,-,1.293,350 (175),Combo tool (primarily for counter-hit links); decent neutral buffer that can go over low pokes and has low whiff recovery
lily,lily_005_5_hp,Standing Heavy Punch,5HP,normals,19,25,20,13,KD +84 Crumple,-23,+14,+9,+4,-1,-,-,-,1,1,0,-,1.506,500 (250),Punish Counter crumple state is +5 before opponent becomes airborne and +28 to land a juggle follow-up; Punish Counter puts airborne opponents into limited juggle state (requires very precise timing); extends a large hurtbox 1f before active that is vulnerable to projectiles; no head hurtbox on frames 9-34; special/DR cancel is delayed until after 2nd active frame; Lily's best link after Punish Counter 5LP due to its range and damage
lily,lily_006_5_hk,Standing Heavy Kick,5HK,normals,-,26,20,13,KD +47,-23,-,-,+5,-1,-,-,-,1,1,0,-,1.962,500 (250),Solid poke with good range and high pushback; useful whiff punish due to the Punish Counter knockdown; Punish Counter puts airborne opponents into limited juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles
lily,lily_007_2_lp,Crouching Light Punch,2LP,normals,13,17,10,9,+10,-9,+6,-1,+10,+3,-,-,-,1,1,0,-,1.32,150 (75),Chains into 5LP/5LK/2LP/2LK; great range for a light attack; topmost hurtbox on frames 1-8 is vulnerable only to aerial strikes (preventing its use as an anti-air); DR cancel is delayed until after 2nd active frame
lily,lily_008_2_lk,Crouching Light Kick,2LK,normals,-,16,12,9,+6,-12,-,-,+6,+2,-,-,-,1,1,0,-,1.13,150 (75),Chains into 5LP/5LK/2LP/2LK
lily,lily_009_2_mp,Crouching Medium Punch,2MP,normals,15 (SA),22,18,11,+5,-19,-,-,+5,+1,-,-,-,1,1,0,-,1.438,250 (125),Strong poke with great hitbox priority; can buffer into Super Arts (SA2 is likely to whiff if buffered as a counterpoke); topmost hurtbox on frames 1-10 is vulnerable only to aerial strikes (preventing its use as an anti-air)
lily,lily_010_2_mk,Crouching Medium Kick,2MK,normals,13,22,16,9,+5,-19,+10,+4,+5,-1,-,-,-,1,1,0,-,1.364,300 (150),Slow and stubby compared to most cancelable 2MKs in the game; Range: 1.364; special/DR cancel is delayed until after active frames
lily,lily_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,9,9,+10(+13),-5 (-2),-,-,-,-,-,-,-,1,1,0,-,1.22,150 (75),Decent horizontal air-to-air
