character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
cviper,cviper_001_5_lp,Standing Light Punch,5LP,normals,13,15,9,9,+8,-9,+5,-1,+8,+2,-,-,-,1,1,0,-,1.01,150 (75),Chains into 5LP/2LP/2LK; 214HP Feint cancel: -4 oH / -10 oB; more range than 2LP but worse advantage on hit/block
cviper,cviper_002_5_lk,Standing Light Kick,5LK,normals,13 (DR: 14),17,12,9,+7,-12,+5,0,+7,+2,-,-,-,1,1,0,-,1.20,150 (75),Primary 5f punish tool; higher hitstun than other lights (can combo into 214MP); links from 2LP allowing C.Viper to combo 4 light normals; DR cancel is delayed until after active frames; 214HP Feint cancel: -2 oH / -7 oB
cviper,cviper_003_5_mp,Standing Medium Punch,5MP,normals,16,22,17,11,+10,-14,+12,+7,+10,+5,-,-,-,1,1,0,-,1.01,250 (125),Primary combo and frame trap starter; 214HP Feint cancel: +3 oH / -2 oB
cviper,cviper_004_5_mk,Standing Medium Kick,5MK,normals,15 (HJ),25,18,11,+8,-19,-,-,+8,+1,-,-,-,1,1,0,-,1.57,350 (175),Strong poke that can combo into specials with a High Jump cancel (214HP can whiff at farther ranges); 2f extra recovery on whiff; HJC~214HP Feint cancel: +4 oH / -3 oB
cviper,cviper_005_5_hp,Standing Heavy Punch,5HP,normals,17 (HJ),27,22,13,+7,-22,-,-,+7,+2,-,-,-,1,1,0,-,1.78,500 (250),Long range poke that can be converted into damaging combos with High Jump cancel into Feint or Seismo; HJC~214HP Feint cancel: +6 oH / +1 oB
cviper,cviper_006_5_hk,Standing Heavy Kick,5HK,normals,18 (HJ),28,21,13,+19,-22,-,-,+8,+1,-,-,-,2,1,3,-,1.36,500 (250),"Staggers opponent on Punish Counter; shorter range vs. crouching opponents; puts airborne opponents into a limited juggle OTG bounce that can be followed up with High Jump cancel into Thunder Dash, OD Burning Kick, or any Super; can be juggled into after Seismo > HJC Air Burning Kick, then High Jump canceled into more damage; extends a hurtbox 1f before active that is vulnerable to projectiles; HJC~214HP Feint cancel: +7 oH / 0 oB / +22 onPC; HJC~214K~Dash cancel onPC: +8 meterless / +11 OD; strict 2f timing to input HJC into grounded Burning Kick (cannot be buffered on the first frame of High Jump)"
cviper,cviper_007_2_lp,Crouching Light Punch,2LP,normals,13,16,10,9,+9,-9,+5,-1,+9,+3,-,-,-,1,1,0,-,0.95,150 (75),"Chains into 5LP/2LP/2LK; DR cancel is delayed until after 2nd active frame; 214HP Feint cancel: -3 oH / -9 oB; topmost hurtbox on frames 1-6 is vulnerable only to aerial attacks, preventing its use as an anti-air"
cviper,cviper_008_2_lk,Crouching Light Kick,2LK,normals,12 (HJ),15,10,9,+8,-9,-,-,+8,+3,-,-,-,1,1,0,-,1.06,150 (75),Chains into 5LP/2LP/2LK; can be High Jump canceled allowing for stronger combo options than most 2LKs; HJC~214HP Feint cancel: -6 oH / -11 oB
cviper,cviper_009_2_mp,Crouching Medium Punch,2MP,normals,15,25,18,11,+9,-18,+15,+8,+9,+2,-,-,-,1,1,0,-,1.14,250 (125),"High hitstun for a medium normal (combos into OD Seismo); special/DI/High Jump cancel is delayed until after 2nd active frame; 214HP Feint cancel: +5 oH / -2 oB; topmost hurtbox on frames 1-8 is vulnerable only to aerial attacks, preventing its use as an anti-air"
cviper,cviper_010_2_mk,Crouching Medium Kick,2MK,normals,13 (HJ),25,19,9,+9,-18,-,-,+9,+3,-,-,-,1,1,0,-,1.60,300 (150),Amazing range for a low poke that can lead to combos with High Jump cancel; HJC~214HP Feint cancel: +4 oH / -2 oB
