character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
ed,ed_001_5_lp,Standing Light Punch,5LP,normals,13,14,9,9,+8,-8,+4,-1,+8,+3,-,-,-,1,1,0,-,0.92,150 (75),Chains into 5LP/2LP; chained 5LP has unique animation for 2nd/3rd hits but has identical frame data and hitbox; very short range but low pushback for 3-hit confirms from point blank; Kill Rush (Forward/Back) cancel advantage: -18/-23
ed,ed_002_5_lk,Standing Light Kick,5LK,normals,14,18,12,9,+7,-13,-,-,+7,+1,-,-,-,1,1,0,-,1.30,150 (75),Range and startup are more comparable to a medium normal; leads into safe hitconfirmable Target Combo; very susceptible to counterpokes (extends strike-only hurtbox 3f before active frames)
ed,ed_003_5_mp,Standing Medium Punch,5MP,normals,15,24,17,11,+10,-16,+14,+7,+10,+3,-,-,-,1,1,0,-,1.176,250 (125),Combo tool with a useful Target Combo follow-up; useful button out of 2MP~DRC as other combo buttons are too slow; Kill Rush (Forward/Back) cancel advantage: -8/-15
ed,ed_004_5_mk,Standing Medium Kick,5MK,normals,14 Sp / 17 TC,18,13,11,+4,-16,+8,+3,+4,-1,-,-,-,1,1,0,-,1.661,350 (175),4f extra recovery on whiff; no true blockstring when DR canceled (weaker as an approach tool); great range with a relatively safe Target Combo when spaced out; extends a strike-only hurtbox on frames 4-9 (easier to counter-poke but not affected by projectiles); extends a wide hurtbox until the end of recovery; Kill Rush (Forward/Back) cancel advantage: -14/-19
ed,ed_005_5_hp,Standing Heavy Punch,5HP,normals,18,27,20,13,+9,-20,+17,+10,+9,+2,-,-,-,1,1,0,-,1.551 (1.416),500 (250),Forces stand; can be charged for Psycho Knuckle (releasing before 30f results in regular 5HP; startup of the release varies from 4-8f depending on charge time); good hitconfirmable poke that can combo into 2MK on Punish Counter even from max range; Kill Rush (Forward/Back) cancel advantage: -5/-12
ed,ed_006_5_hk,Standing Heavy Kick,5HK,normals,17,23,19,13,+12,-13,+13,+9,+12,+8,-,-,-,1,1,0,-,1.222,500 (250),Whiffs on crouching opponents unless they extend a vertical hurtbox; useful anti-air and close range combo/pressure tool; extremely fast recovery for a heavy normal; Kill Rush (Forward/Back) cancel advantage: -9/-13
ed,ed_007_2_lp,Crouching Light Punch,2LP,normals,-,16,10,9,+7,-11,-,-,+7,+1,-,-,-,1,1,0,-,1.02,150 (75),Chains into 5LP/2LP; more range than 5LP but not very useful since it can't be canceled; comparable to a 2LK for most characters
ed,ed_008_2_lk,Crouching Light Kick,2LK,normals,12,16,10,9,+6,-12,+5,-1,+6,0,-,-,-,1,1,0,-,1.30,150 (75),Excellent range for a light normal (functions like a 5LK for most characters); special/DR cancel is delayed until after active frames; extends a strike-only hurtbox 2f before active and a wider hurtbox until the end of recovery; Kill Rush (Forward/Back) cancel advantage: -17/-24; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)
ed,ed_009_2_mp,Crouching Medium Punch,2MP,normals,13,24,16,9,+6,-20,+12,+4,+6,-2,-,-,-,1,1,0,-,1.411,250 (125),Functions like a 2MK for most characters (with below-average range); DR cancel is delayed until after active frames; has an extended hurtbox on whiff until the end of recovery; Range: 1.41; Kill Rush (Forward/Back) cancel advantage: -8/-16
ed,ed_010_2_mk,Crouching Medium Kick,2MK,normals,14,26,17,11,+12,-16,+16,+7,+12,+3,-,-,-,1,1,0,-,1.839 (1.821),300 (150),Forces stand; whiffs vs. crouching opponents at longer ranges unless they extend a vertical hurtbox; 3f extra recovery on whiff and extends a wide hurtbox until the end of recovery; good range for combos and buffers; situational anti-air but loses or trades with stronger jump-ins; Kill Rush (Forward/Back) cancel advantage: -6/-15
