character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
alex,alex_001_5_lp,Standing Light Punch,5LP,normals,12,16,10,9,+9,-9,+6,0,+9,+3,-,-,-,1,1,0,-,1.08,150 (75),Chains into 5LP/2LP/2LK; Alex's only 4f attack with above average range
alex,alex_002_5_lk,Standing Light Kick,5LK,normals,12,16,10,9,+5,-13,+5,-1,+5,-1,-,-,-,1,1,0,-,1.44,150 (75),Very long range for a 6-frame button (but slow for a light normal); DR cancel is delayed until after active frames
alex,alex_003_5_mp,Standing Medium Punch,5MP,normals,16 / 19 TC,22,19,11,+7,-17,+12,+9,+7,+4,-,-,-,1,1,0,-,1.30,250 (125),2f extra recovery on whiff; extends a wide arm and foot hurtbox on the first 15 recovery frames; can lead to a hitconfirmable TC knockdown; great meaty tool with very low pushback (up to +6 oH / +3 oB)
alex,alex_004_5_mk,Standing Medium Kick,5MK,normals,-,25,18,11,+7,-20,-,-,+7,0,-,-,-,1,1,0,-,1.70,350 (175),Foot hurtbox shifts backward on frames 5-16f (more effective at counter-hitting low pokes); long range poke with good hitbox priority and no extended hurtbox before active frames; creates a useful spacing trap against Ryu/Akuma/Terry 2MK and Ed 2MP using 5LP~2LP~2LP or 2LK~5LP~2LP that grants a Punish Counter link to 5LK; extends a wide leg hurtbox on the first 11 recovery frames
alex,alex_005_5_hp,Standing Heavy Punch,5HP,normals,19 SA,28,21,13,+8,-22,-,-,+8,+1,-,-,-,1,1,0,-,1.78,500 (250),"Disjointed poke with great range to harass the opponent's Drive gauge; cancelable into Super for a hitconfirm or to punish Drive Impact; extends a wide arm and foot hurtbox on the first 12 recovery frames; high active frame count for meaty setups (up to +8 oH / +1 oB, but high pushback on block); can be held for a stronger, fully cancelable version (uncharged version comes out if button is held up to 15 frames); holding the button 1-7f results in 12f startup; holding the button 8-15f increases the total startup incrementally by 1f (up to a maximum startup of 20f)"
alex,alex_006_5_hp,Standing Heavy Punch (Hold),5[HP],normals,19 / 20 PS / (29 PC),30,27,15 (25 PC),+13,-23,+20,+17,+9,+6,-,-,-,1,1,1,-,2.03,500 (250),"Button must be held 16f (early release results in uncharged version); more damage and range than uncharged version; has juggle potential unlike uncharged version (useful in some routes like juggled SA2 when not fully cornered); puts airborne opponents into a limited juggle state; stops forward momentum when used out of Drive Rush (good for baiting DR checks, but will usually be out of range for link follow-ups afterward); enables true blockstring into HP Flash Chop for huge Drive damage and plus frames; true blockstring when canceled into Drive Impact (can be delayed to manually create a gap); extends a front leg hurtbox on frames 8-19 of startup (more easily counterpoked by lows); extends a wide arm and foot hurtbox on the first 15 recovery frames; can be safe to Drive Impact if absorbed late; Prowler Stance cancel: +9 oH / +6 oB"
alex,alex_007_5_hk,Standing Heavy Kick,5HK,normals,-,27,22,13 (25 PC),KD +62 Crumple,-24,-,-,+5,0,-,-,-,1 [-1 PC Ground],1,0,-,2.05 (2.00),500 (250),"Disjointed poke with great range; grounded Punish Counter crumple puts opponent into a free juggle crumple state and is +23 before opponent falls to the ground (no grounded combo possible); puts airborne opponents into a limited juggle state (free juggle on Punish Counter); extends a hurtbox 1f before active that is vulnerable to projectiles; can be held for a stronger, longer-range version (uncharged version comes out if button is held up to 15 frames); holding the button 1-8f results in 16f startup; holding the button 9-15f increases the total startup incrementally by 1f (up to a maximum startup of 23f)"
alex,alex_008_5_hk,Standing Heavy Kick (Hold),5[HK],normals,19 (29 PC),-,25,15 (25 PC),KD +69,-21,-,-,-,+6,-,-,-,1 [0 PC],1,1,-,2.30 (2.20),550 (275),"Button must be held 16f (early release results in uncharged version); more damage, range, and juggle potential than uncharged version; stops forward momentum when used out of Drive Rush (good for baiting DR checks); Punish Counter (ground/air) puts opponent into a free juggle state; puts airborne opponents into a limited juggle state on normal hit; startup frames 17-24 extend a small leg hurtbox (more easily counter-poked by standing buttons); extends a wide leg hurtbox on the first 10 recovery frames; Prowler Stance cancel: KD +42 oH / +4 oB (KD advantage varies on airborne opponents)"
alex,alex_009_2_lp,Crouching Light Punch,2LP,normals,13,16,9,9,+9,-9,+5,-2,+9,+2,-,-,-,1,1,0,-,1.23,150 (75),Chains into 5LP/2LP/2LK; topmost hurtbox on frames 1-7 is vulnerable only to aerial attacks (preventing its use as an anti-air) and is projectile invincible to avoid High Tiger Shot; DR cancel is delayed until after 2nd active frame
alex,alex_010_2_lk,Crouching Light Kick,2LK,normals,13 (TC),16,12,9,+6,-12,-,-,+6,+2,-,-,-,1,1,0,-,1.31,150 (75),"Chains into 5LP/2LP/2LK; TC into 2HK requires Drive Rush/Counter-hit/Punish Counter (useful 5f punish at longer ranges, especially with Modern controls)"
