character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
zangief,zangief_001_5_lp,Standing Light Punch,5LP,normals,13,16,14,9,+8,-10,+6,+4,+8,+6,-,-,-,1,1,0,-,1.56 (1.51),150 (75),Chains into 5LP/2LP/2LK with no gap on blockstring; 4f startup when chained into; sets up a true mixup on block between strike and command throw
zangief,zangief_003_5_lk,Standing Light Kick,5LK,normals,13,17,15,9,+2,-17,+7,+5,+2,0,-,-,-,1,1,0,-,1.668 (1.657),150 (75),Very long range for a light normal (slightly longer than 5MP)
zangief,zangief_004_5_mp,Standing Medium Punch,5MP,normals,28,23,19,11,+6,-19,-,-,+6,+2,-,-,-,1,1,0,-,1.66,350 (175),"Great poke due to its range and hitbox; TC follow-up is extremely lenient, but only works after counter-hit, Punish Counter, or Drive Rush; can perform TC follow-up on whiff; 6f blockstring gap when canceling to 5MP~MP"
zangief,zangief_005_5_mk,Standing Medium Kick,5MK,normals,-,24,19,11,+5,-21,-,-,+5,0,-,-,-,1,1,0,-,1.778,450 (225),Strong poke due to its range and hitbox priority
zangief,zangief_006_5_hp,Standing Heavy Punch,5HP,normals,-,28,22,13,KD +32,-23,-,-,+7,+1,-,4-release (Upper Body),-,1 air,1,0,-,2.186 (2.136),500 (250),Button can be held up to 22f for armored partial charge (armor loses to hitboxes that connect on Zangief's lower body); 10f startup after button release (total startup 16-32f); 2 extra recovery frames on whiff; counter-hit also gives KD +32; puts airborne opponents into limited juggle state
zangief,zangief_007_5_hp,Standing Heavy Punch (hold),5[HP],normals,-,-,28,13,HKD +54,-23,-,-,KD +40,+7,-,4-34 (Upper Body),-,1,1,0,-,2.446 (2.396),500 (250),Armor loses to hitboxes that connect on Zangief's lower body; button must be held 23f for full charge; 2 extra recovery frames on whiff; Counter-hit gives HKD +40; Punish Counter causes opponent to slide far along the ground
zangief,zangief_008_5_hk,Standing Heavy Kick,5HK,normals,-,28,26,13,KD +51 Spin,-23,-,-,+7,+5,13-22 Air (Leg),-,-,1 air [0 PC Ground/Air],1,0,-,1.892,500 (250),Cannot hit crouching opponents; puts airborne opponents into limited juggle state; Punish Counter puts grounded/airborne opponents into free juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles; good anti-air but slow to startup
zangief,zangief_009_2_lp,Crouching Light Punch,2LP,normals,12,16,11,9,+10,-8,+6,+1,+10,+5,-,-,-,1,1,0,-,1.52,150 (75),Chains into 5LP/2LP/2LK with no blockstring gap into 2LP/2LK; 3f startup when chained into; topmost hurtbox on frames 1-7 is vulnerable only to aerial strikes (preventing its use as an anti-air)
zangief,zangief_011_2_lk,Crouching Light Kick,2LK,normals,-,15,12,9,+4,-13,-,-,+4,+1,-,-,-,1,1,0,-,1.39,150 (75),Chains into 5LP/2LP/2LK with no blockstring gap into 2LP/2LK; 3f startup when chained into; Zangief's only 4f normal
zangief,zangief_013_2_mp,Crouching Medium Punch,2MP,normals,15,22,18,11,+7,-17,+12,+8,+7,+3,-,-,-,1,1,0,-,1.49,400 (200),"Useful in combos due to its cancelability, especially into SA2; decent hitbox priority in neutral; topmost hurtbox is vulnerable only to aerial strikes on frames 1-7 (preventing its use as an anti-air), and is projectile invincible on frames 1-15 to avoid High Tiger Shot (frames 16-26 are still vulnerable)"
zangief,zangief_014_2_mk,Crouching Medium Kick,2MK,normals,-,23,19,11,+7,-19,-,-,+7,+2,-,-,-,1,1,0,-,1.777,350 (175),Long-range low poke with incredible hitbox priority; can confirm into 3MP after a Drive Rush starter
zangief,zangief_015_2_hp,Crouching Heavy Punch,2HP,normals,-,-,24,13,KD +58,-42,-,-,KD +20,-16,10-19 Air (Head),-,-,1 air [0 PC Ground/Air],0,0,-,1.68,500 (250),"Active frames 4-8 cannot hit grounded opponents, but can anti-air cross-ups; useful anti-air with slow startup; puts airborne opponents into limited juggle state; Punish Counter puts grounded/airborne opponents into free juggle state, followed by OTG bounce which can be followed up with Drive Rush buttons midscreen or an auto-timed 3MP in the corner"
