character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
elena,elena_001_5_lp,Standing Light Punch,5LP,normals,14,16,10,9,+8,-10,+4,-2,+8,+2,-,-,-,1,1,0,-,1.16,150 (75),"Good range for a light normal; less range than 5LK, but leads to better 5f punish combos; DR cancel is delayed until after 3rd active frame"
elena,elena_002_5_lk,Standing Light Kick,5LK,normals,13,16,10,9,+6,-12,+4,-2,+6,0,-,-,-,1,1,0,-,1.31,150 (75),"Ranged light poke that gives Elena strong punishes and confirms; allows for 4-light confirm strings after chained 2LPs, but does not combo naturally into 214LK; Special/DI cancel is delayed until after 2nd active frame; DR cancel is delayed until after 3rd active frame"
elena,elena_003_5_mp,Standing Medium Punch,5MP,normals,18 SA / 18(20) TC,23,17,11,+7(+9),-18(-16),-,-,+7(+9),+1(+3),-,-,-,1,1,0,-,1.765 (1.495),250 (125),"Strong neutral buffer tool; active frames 1-2 have shorter range (this close-range hitbox disappears after the 3rd active frame, making it less useful as a meaty); active frames 3-5 gain a longer range foot hitbox, but cannot hit crouching opponents and cannot hit cross-up; these later active frames result in 2f better frame advantage; the final 2 TC cancel frames do not combo without at least a Counter-hit starter; lenient hitconfirm window gives time to confirm a Super, or a TC follow-up if the opponent is standing; forces stand on Punish Counter, ensuring the TC will fully connect"
elena,elena_004_5_mk,Standing Medium Kick,5MK,normals,16,22,18,11,+9,-15,+12,+8,+9,+5,-,-,-,1,1,0,-,1.11,250 (125),2f extra recovery on whiff; useful combo and frame trap tool; short range for a 6-frame medium
elena,elena_005_5_hp,Standing Heavy Punch,5HP,normals,19 (PC: 31),26,22,13 (PC: 25),KD +46,-22,-,-,+6,+2,-,-,-,1,1,0,-,1.729,500 (250),Forces stand; foot hitbox cannot hit crouching opponents (shorter range vs. crouching); Punish Counter puts opponent into limited juggle state; strong anti-air hitbox at longer ranges but cannot hit cross-up; extends hurtbox 1f before active that is vulnerable to projectiles
elena,elena_006_5_hk,Standing Heavy Kick,5HK,normals,-,25,19,13 (PC: 25),KD +53,-21,-,-,+6,0,-,-,-,1,1,0,-,1.915,500 (250),Low Crush 9-17f (not airborne); good mid-range poke; Punish Counter puts opponent into limited juggle state (combos reliably into 236KK or SA2 unless whiff punishing a ranged attack); also causes limited juggle state on airborne Counter-hit (into 623HK at close range) and Punish Counter (slightly better juggles than grounded PC); extends hurtbox 1f before active that is vulnerable to projectiles; hitbox does not move forward during the active frames (cannot be spaced in neutral for better advantage)
elena,elena_007_2_lp,Crouching Light Punch,2LP,normals,13,16,10,9,+9,-9,+5,-1,+9,+3,-,-,-,1,1,0,-,1.07,150 (75),Chains into 2LP/2LK; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air); DR cancel is delayed until after 2nd active frame
elena,elena_008_2_lk,Crouching Light Kick,2LK,normals,-,14,10,9,+7,-9,-,-,+7,+3,-,-,-,1,1,0,-,1.09,150 (75),Chains into 2LP/2LK
elena,elena_009_2_mp,Crouching Medium Punch,2MP,normals,15,24,19,11,+5,-21,+12,+7,+5,0,-,-,-,1,1,0,-,1.50,300 (150),Great cancelable poke in neutral; not an anti-air despite the animation; DR cancel is delayed until after active frames
elena,elena_010_2_mk,Crouching Medium Kick,2MK,normals,15,23,17,11,+8,-19,-,-,+8,0,-,-,-,1,1,0,-,1.726 (1.669),300 (150),"2f extra recovery on whiff/block; good combo starter out of Drive Rush but leaves Elena neutral if blocked; can combo naturally into 2LP, but Elena is always punishable by the opponent's 4f normal at this range"
elena,elena_013_j_lp,Jumping Light Punch,j.LP,normals,-,14,10,9,+9(+14),-7 (-2),-,-,-,-,-,-,-,1,1,0,-,0.55,150 (75),"Cross-up; can be used as a fuzzy instant overhead (except vs. Blanka); Target Combo extension can lead to better advantage vs. grounded opponents, giving more time to hitconfirm a follow-up"
elena,elena_014_j_lk,Jumping Light Kick,j.LK,normals,-,13,9,9,+6(+13),-9 (-2),-,-,-,-,-,-,-,1,1,0,-,0.82,150 (75),Can be used as a fuzzy instant overhead; good downward hitbox priority (likely to beat or trade with anti-airs)
elena,elena_015_j_mp,Jumping Medium Punch,j.MP,normals,-,17,11,11,+15(+17),-4 (-2),-,-,-,-,-,-,-,1,1,0,-,1.21,250 (125),"Puts airborne opponents into limited juggle state; at most air-to-air timings, Elena's only follow-up juggle is a Target Combo extension; whiffs against standard-sized crouching opponents; lower body projectile invuln 8-17f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
elena,elena_019_3_hk,Slide,3HK,command_normals,-,-,17,13,HKD +46(+54),-29(-21),-,-,HKD +31(+39),-6 (+2),-,-,-,1,1,0,-,2.88 (1.69),500 (250),4f extra recovery on whiff or vs. armor; does not low profile under projectiles; reaches ~1/2 screen and is safe when spaced well
elena,elena_020_4_hk,Round Arch,4HK,command_normals,-,24,18,11 (PC: 13),KD +39,-19,-,-,+7,+1,-,-,-,1,1,0,-,0.790,500 (250),"Low Crush 9-17f (not airborne); 2f extra recovery on whiff; Counter-hit/Punish Counter puts opponent into a limited juggle state (can chase with DR oki, 236LP~6LP~6LK pressure, or juggle 623MK/623KK if used point blank in the corner); Elena moves backward starting on frame 5 (can help avoid the opponent's attack or throw)"
elena,elena_021_mp_mp,Starling Beak,5MP~MP,command_normals,48~50 (17),21,15,11,0,-23,+11,+5,-,-,-,-,-,1,1,0,-,1.94 (1.76),350 (175),Whiffs on crouching opponents (but can force stand with Punish Counter 5MP); interruptible 6-8f gap between hits; does not combo from the final 2 cancelable frames of 5MP without at least a Counter-hit
elena,elena_022_6_mk,Handstand Whip 1,6MK,command_normals,17,24,19,11,+6,-20,-,-,+6,+1,-,-,-,1,1,0,-,1.716,350 (175),Long-range overhead with fast startup and a hitconfirmable TC follow-up
elena,elena_023_6_mk_mk,Handstand Whip 2,6MK~MK,command_normals,-,-,15,8,KD +29,-,-,-,-,-,-,-,-,-,-,0,-,2.07,175 (87),Hitconfirmable Target Combo that makes Elena's long-range overhead more threatening even without Drive Rush
elena,elena_025_2_mk_hk,Fluttering Lark,2MK~HK,command_normals,41~42 (14*),25,16*,9,+8 / -14 (whiff),-23 *,+14,+5 *,-,-,-,-,-,1,1,2,-,2.00,300* (150*),"() refers to scaled damage from 2MK combo starter; whiffs on crouching opponents (-18 after 2MK on hit, -24 after 2MK on block); 4f extra recovery on whiff or parry; the HK itself usually cannot be blocked since a blocked 2MK forces the opponent to crouch under it, but the entire sequence can be parried (block data notated with * refers to this scenario); if the TC is delayed as late as possible, the opponent can block 2MK and then Parry the follow-up or get hit while trying to jump; Special/DI/DR cancel is delayed until after 1st recovery frame"
elena,elena_028_6_hp_hp,Trunk Slap 2,6HP~HP,command_normals,43~49,27,18,5,+2,-,-,-,-,-,-,-,-,1,1,0,-,1.90 (1.88),250 (125),Hitconfirmable extension from long-range 6HP; has no juggle potential (will not juggle after DI wall splat); always a true blockstring from 6HP
elena,elena_036_6_2_3_lk,Scratch Wheel,623LK,specials,-,-,20,14,KD +36,-42,-,-,-,-,1-9 Air,-,7-34 (FKD),1,1,20,-,1.01,500 (250),Strong close-range anti air but cannot hit cross-up; can launch high airborne opponent high enough for a follow-up Scratch Wheel juggle (incurs starter scaling)
elena,elena_037_6_2_3_mk,Scratch Wheel,623MK,specials,-,-,20(17),"5,9",KD +26,-48,-,-,-,-,1-11 Air,-,7-41 (FKD),"1,1","1,1","20,21",-,1.03,250x2 (125x2),"Strong close/mid-range anti air but cannot hit cross-up; active frames 4-6 will only deal 1 hit for half damage, making early anti-air attempts weaker; can only incur starter scaling if trading with a grounded normal and landing a follow-up juggle"
elena,elena_038_6_2_3_hk,Scratch Wheel,623HK,specials,-,-,21(18/17),"5,3,10",KD +23,-52,-,-,-,-,1-12 Air,-,7-46 (FKD),"1,1,1","1,1,1","20,21,22",-,1.17,200x3 (100x3),"Strong mid-range anti air but cannot hit cross-up; has the most range for grounded juggles and cancels; connecting with active frames 3-4 makes the first hit whiff (500 less damage), and active frames 5-6 make the first 2 hits whiff (900 less damage), making early anti-air attempts weaker"
elena,elena_040_2_3_6_lp,Lynx Song,236LP,specials,-,-,-,-,-,-,-,-,-,-,11-21 Projectile,-,-,-,-,-,-,-,-,Shortest total distance (1.37); 13f/0.72 distance before 6LK; 16f/0.87 distance before 6MK/6HK/6P; crouch-sized hurtbox 3-26f (but still considered standing); can execute the 6LK follow-up 3f earlier than the other follow-ups; Elena is in a Counter-hit state for the entire roll duration
elena,elena_041_2_3_6_mp,Lynx Song,236MP,specials,-,-,-,-,-,-,-,-,-,-,11-22 Projectile,-,-,-,-,-,-,-,-,Medium total distance (1.72); 13f/0.66 distance before 6LK; 18f/0.98 distance before 6MK/6HK/6P; crouch-sized hurtbox 3-26f (but still considered standing); can execute the 6LK follow-up 5f earlier than the other follow-ups; Elena is in a Counter-hit state for the entire roll duration
elena,elena_042_2_3_6_hp,Lynx Song,236HP,specials,-,-,-,-,-,-,-,-,-,-,11-24 Projectile,-,-,-,-,-,-,-,-,Longest total distance (2.21); 16f/1.08 distance before 6LK; 19f/1.35 distance before 6MK/6HK/6P; crouch-sized hurtbox 3-26f (but still considered standing); can execute the 6LK follow-up 3f earlier than the other follow-ups; Elena is in a Counter-hit state for the entire roll duration
elena,elena_043_2_3_6_p_p,Lynx Song,236PP,specials,-,-,-,-,-,-,-,-,-,-,8-26 Projectile,-,-,-,-,-,-,-,-,"Follow-ups are enhanced like the Lynx Whirl versions after only one spin; total distance is between the MP/HP versions (2.02); 15f/0.93 distance before 6LK; 18f/1.19 distance before 6MK/6HK/6P; crouch-sized hurtbox 3-26f (but still considered standing); can execute the 6LK follow-up 3f earlier than the other follow-ups; this version is good for combos, pressuring from neutral, and punishing projectiles due to the faster startup on enhanced follow-ups; Elena is in a Counter-hit state for the entire roll duration"
elena,elena_046_6_mk,Harvest Circle,236P~6MK,specials,-,-,17,11,KD +44,-24,-,-,-,-,1-10 Projectile,-,-,1,3,11,-,1.43 (+Roll),300 (150),"Extended kicking foot hurtbox is anti-air invuln while active on frames 8-10 (can anti-air opponents jumping out of roll pressure, but cannot hit cross-up); maintains projectile invuln from Lynx Song to counter fireballs more effectively; Elena immediately loses crouch-sized hurtbox from Lynx Song; total minimum startup depends on which strength of Lynx Song was used (LP 16+8, MP 18+8, HP 19+8, OD 18+8); puts opponent into a limited juggle state"
