character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
mai,mai_001_5_lp,Standing Light Punch,5LP,normals,13,15,8,9,+9,-8,+5,-2,+9,+2,-,-,-,1,1,0,-,0.97,150 (75),"Chains into 5LP/2LP/2LK; useful in combos due to its extra 1f hitstun over 2LP (combos naturally into 214LP/MP, 236KK, and has more utility in CH/PC/DR routes)"
mai,mai_002_5_lk,Standing Light Kick,5LK,normals,14 Sp/TC,12,10,10,+5,-9,+2,0,+5,+3,-,-,-,1,1,0,-,0.77,150 (75),Very short range (only combos naturally from point blank 5LP/2LP); only useful for 5LK~LK~LK Target Combo
mai,mai_003_5_mp,Standing Medium Punch,5MP,normals,16,21,16,11,+6,-17,+11,+6,+6,+1,-,-,-,1,1,0,-,1.46 (1.408),300 (150),Great range for a cancelable poke; solid hitbox priority; important combo tool from Punish Counter 2LP (works from max range); has an extended hurtbox on whiff until the end of recovery
mai,mai_004_5_mk,Standing Medium Kick,5MK,normals,-,26,17,11,+9,-19,-,-,+9,0,-,-,-,1,1,0,-,1.58,350 (175),Solid poke with good hitbox priority that can lead to combos with CH/PC/DR; links consistently into SA2 when used as a whiff punish; Mai lifts up her front hurtbox on frames 4-17 making it useful vs. low attacks
mai,mai_005_5_hp,Standing Heavy Punch,5HP,normals,17,25,21,13,+5(+7),-22(-20),+15,+11,+5(+7),+1(+3),-,-,-,1,1,0,-,1.613 (1.467),400 (200),Very long range for a cancelable poke; great for combos and whiff punishing; combos from PC/DR 5LP for optimal conversions; slightly less pushback on Counter-hit/Punish Counter (makes some ranged 214P cancels more reliable)
mai,mai_006_5_hk,Standing Heavy Kick,5HK,normals,-,25,19,13,KD +61 Crumple,-20,-,-,+7,+1,-,-,-,1 [-1 PC],1,0,-,1.97,500 (250),"3f extra recovery on whiff; Great range for a safe poke; Mai lifts up her leg hurtbox on frames 10-16 making it decent vs. low attacks; grounded Punish Counter causes a crumple state (opponent is airborne for all follow-up hits); airborne Punish Counter puts opponents into limited juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles; extends a hurtbox at mid-height for the first 17 recovery frames, making it more whiff punishable by standing or high-angled crouching buttons"
mai,mai_007_2_lp,Crouching Light Punch,2LP,normals,13,14,9,9,+8,-8,+4,-1,+8,+3,-,-,-,1,1,0,-,1.03,150 (75),Chains into 5LP/2LP/2LK; longest range of Mai's light normals; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)
mai,mai_008_2_lk,Crouching Light Kick,2LK,normals,-,13,9,9,+6,-9,-,-,+6,+2,-,-,-,1,1,0,-,0.99,150 (75),Chains into 5LP/2LP/2LK
mai,mai_009_2_mp,Crouching Medium Punch,2MP,normals,16,24,16,11,+9,-17,+14,+6,+9,+1,-,-,-,1,1,0,-,1.23 (1.207),300 (150),2f extra recovery on whiff; good range for a cancelable 6f medium; the forward movement makes it riskier to whiff than similar attacks
mai,mai_010_2_mk,Crouching Medium Kick,2MK,normals,13,20,16,9,+2,-20,+8,+4,+2,-2,-,-,-,1,1,0,-,1.438,250 (125),Cancelable low poke with decent range; useful Counter-hit conversion after 5LP at ranges where 2MP whiffs; has an extended hurtbox on whiff until the end of recovery; DR cancel is delayed until after active frames
