character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
manon,manon_001_5_lp,Standing Light Punch,5LP,normals,13,17,12,9,+8,-11,+5,0,+8,+3,-,-,-,1,1,0,-,1.01,150 (75),Chains into 5LP/2LP/2LK; higher hitstun than other light normals allows a natural combo into 214LK/214MK; DR cancel is delayed until after active frames
manon,manon_002_5_lk,Standing Light Kick,5LK,normals,12,16,12,9,+6,-12,+6,+2,+6,+2,-,-,-,1,1,0,-,1.35,150 (75),Longest ranged light normal (important for punishing -5 or -6 attacks); does not naturally combo into 214LK/214MK outside of Punish Counter situations
manon,manon_003_5_mp,Standing Medium Punch,5MP,normals,16 (19 TC),21,17,11,+6,-17,+11,+7,+6,+2,-,-,-,1,1,0,-,1.48,250 (125),Moves forward during startup; easily hitconfirmable into TC follow-up (always a true blockstring even if delayed); high active frame count makes it good for oki; Punish Counter causes the follow-up Target Combo (5MP~MK) to change properties (causes hard knockdown instead of standing reset); strong Drive Rush check that can combo into 236LP on counter-hit for a medal
manon,manon_005_5_hp,Standing Heavy Punch,5HP,normals,18 SA (29 TC),24,21,13,+4,-22,-,-,+4,+1,-,-,-,1,1,1,-,1.66,500 (250),Very lenient hitconfirm window (always a true blockstring even if delayed); puts airborne opponents into limited juggle state; Punish Counter causes the follow-up Target Combo (5HP~HP) to change properties (causes limited juggle state knockdown instead of standing reset); can be used in juggle routes to cancel into 5HP~HP or SA2 (e.g. after j.MP / 236P~K / corner 236KK / corner 236PP~K > 4HP)
manon,manon_006_5_hk,Standing Heavy Kick,5HK,normals,-,27,23,13,+17 Stagger,-27,-,-,+5,-2,-,-,-,1 [0 PC Air],0,0,-,2.28 (2.241),500 (250),3f extra recovery on block/whiff; incredibly long range poke that can combo into 214LK/214MK on Punish Counter from max range; Punish Counter puts airborne opponents into spinning free juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles; the slow startup and recovery makes it especially vulnerable to Drive Impact
manon,manon_007_2_lp,Crouching Light Punch,2LP,normals,12,16,11,9,+7,-11,+6,+1,+7,+2,-,-,-,1,1,0,-,1.09,150 (75),"Chains into 5LP/2LP/2LK; true blockstring when chained into 5LP/2LP; cannot combo into 214LK/214MK, but gives more reliable 3-hit light confirm; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
manon,manon_008_2_lk,Crouching Light Kick,2LK,normals,-,14,12,9,+3,-13,-,-,+3,+1,-,-,-,1,1,0,-,1.33,150 (75),Chains into 5LP/2LP/2LK; primary low combo starter; less pushback than other chainable light normals (allows tick throws and easier 3-light string confirms)
manon,manon_009_2_mp,Crouching Medium Punch,2MP,normals,15,20,13,11,+10,-12,+10,+3,+10,+3,-,-,-,1,1,0,-,1.29,250 (125),4f extra recovery on whiff; Manon's primary combo starter
manon,manon_010_2_mk,Crouching Medium Kick,2MK,normals,-,23,18,11,+7,-18,-,-,+7,+2,-,-,-,1,1,0,-,1.62 (1.60),300 (150),"Good range low poke that leads to combos and frame advantage when used out of Drive Rush; high pushback on hit and block; after Drive Rush, can link into 5MP at closer ranges"
manon,manon_011_2_hp,Crouching Heavy Punch,2HP,normals,23 TC,24,18,11,+2,-24,-,-,+2,-4,7-34 Air (Arm/Head),-,-,10,10,0,-,0.89,500 (250),"Very strong anti-air but cannot hit cross-up; the hurtbox on Manon's arm and head is invincible to airborne strikes, and her hurtbox remains in a crouching state for the entire animation allowing for late anti-airs to work"
manon,manon_012_2_hk,Croisee,2HK,normals,-,-,17,13,HKD +44,-27,-,-,KD +29,-8,-,-,-,1,1,5,-,2.01,500 (250),"Moves forward during startup, giving it more range but also making it easily punished on block; has juggle potential"
manon,manon_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,9,9,+9(+13),-6 (-2),-,-,-,-,-,-,-,1,1,0,-,0.67,150 (75),
manon,manon_014_j_lk,Jumping Light Kick,j.LK,normals,-,14,10,9,+7(+14),-9 (-2),-,-,-,-,-,-,-,1,1,0,-,0.56,150 (75),Cross-up; can be used as a fuzzy instant overhead (requires perfect safe jump timing)
manon,manon_015_j_mp,Jumping Medium Punch,j.MP,normals,-,15,11,11,+13(+15),-4 (-2),-,-,-,-,8-22 Lower Body Projectile,-,-,1,10,2,-,1.01,250 (125),"Puts airborne opponents into limited juggle state; excellent horizontal air-to-air hitbox; lower body projectile invuln 8-22f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
manon,manon_016_j_mk,Jumping Medium Kick,j.MK,normals,-,17,13,11,+12(+17),-7 (-2),-,-,-,-,-,-,-,1,1,0,-,1.23,250 (125),"Cross-up; lower body projectile invuln 7-20f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
manon,manon_017_j_hp,Jumping Heavy Punch,j.HP,normals,-,19,15,13,+12(+19),-9 (-2),-,-,-,-,-,-,-,1,0,0,-,0.80,500 (250),Causes spike knockdown vs. airborne opponents; lower body projectile invuln 9-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
manon,manon_018_j_hk,Jumping Heavy Kick,j.HK,normals,-,19,15,13,+12(+19),-9 (-2),-,-,-,-,-,-,-,1,0,0,-,1.13,500 (250),Incredible hitbox priority and downward reach (best option for most jump-ins); lower body projectile invuln 11-19f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
manon,manon_019_4_hp,Révérence,4HP,command_normals,22,26,24,13,+7,-21,+16,+14,+7,+5,-,-,-,1,1,0,-,1.09 (1.077),500 (250),"Strong punish starter and combo filler after Drive Rush routes; high active frame count makes it very strong as a meaty; puts airborne opponents into limited juggle state; lenient hitconfirm window, but late cancels into 236P, 214HK, or 214KK can fail to combo"
manon,manon_020_3_hk,Tomoe Derriére,3HK,command_normals,-,-,18,12,HKD +36,-39,-,-,KD +26,-19,9-19 Air (Leg),-,-,1,1,2,-,2.04,250 (125),"Not a low attack despite the animation; works as an anti-air to to invincibility on kicking leg; puts opponents into limited juggle state; can hit cross-up; kicks airborne opponents backwards for a side switch; Punish Counter also switches sides and gives a Hard Knockdown, allowing follow-up oki; only the 1st active frame can hit grounded opponents (active frames 2-9 hit airborne)"
manon,manon_022_4_mk,Back Medium Kick,4MK,command_normals,20(28),22,20,11,+3,-21,-,-,+3,+1,-,-,-,1,1,0,-,1.22,350 (175),"Long TC cancel window into an overhead, but will not combo on hit if delayed too long; good anti-air hitbox (cannot hit cross-ups); puts airborne opponents into limited juggle state (follow-up TC can continue juggle, or can juggle 236KK/SA1/SA2 on a high anti-air)"
manon,manon_023_4_mk_mk,En Haut,4MK~MK,command_normals,49(17),23,15,11,+1,-24,+11,+3,-,-,-,-,-,1,1,1,-,-,350 (175),"Forces crouch on hit; 2f blockstring gap when canceled from 4MK, which can be increased by delaying the cancel for different frame trap timings; combos naturally from 4MK unless the TC cancel is delayed; has juggle potential and puts airborne opponents into limited juggle OTG state (useful after a 4MK anti-air); special/DR cancel is delayed until after 3rd active frame; 2nd hit maintains the CH/PC state from the initial 4MK (allows stronger cancel routes and both hits deal Drive damage on PC, but does not apply to Drive Rush starter); CH 4MK~MK cancels into 236LP and PC 4MK~MK cancels into 214KK"
manon,manon_024_hp_hp,Temps Lié,5HP~HP,command_normals,-,25,16,13,+7 / KD +48,-,-,-,-,-,-,-,-,1,1,5,-,1.44 (1.52),500 (250),"Pulls opponent close to Manon for a strike/throw mixup on hit, but also easily punishable on block; 2f extra recovery on block; always a true blockstring even when delayed; easily hitconfirmed from 5HP; after Punish Counter 5HP, becomes a knockdown (KD +48 limited juggle state) that can combo into 236KK or SA2; this Punish version has extended range and inflicts damage scaling on the follow-up juggle; can be juggled into after 5HP in some combo routes (e.g. air-to-air j.MP, corner 236KK, 236P~K, or 236PP~K > 4HP)"
manon,manon_025_2_hp_hp,Allongé,2HP~HP,command_normals,-,31,20,13,+5,-,-,-,-,-,-,-,-,1,1,15,-,-,500 (250),Causes spike knockdown after 2HP hits an airborne opponent; slightly better KD advantage when opponent is juggled high in the air
manon,manon_026_6_3_2_1_4_lp,LP Manège Doré,63214LP,specials,-,-,-,-,HKD +19,-,-,-,-,-,-,-,-,-,-,-,-,1.529 (1.511),-,Increases Medal Level by 1 on hit; damage at Medal Lv. 1-5: 2000/2300/2700/3000/3700; Super Gain at Medal Lv. 1-5: 3000/3000/4000/4000/5000; cannot be special canceled into; slowest startup with long range
manon,manon_027_6_3_2_1_4_mp,MP Manège Doré,63214MP,specials,-,-,-,-,HKD +19,-,-,-,-,-,-,-,-,-,-,-,-,1.374 (1.296),-,Increases Medal Level by 1 on hit; damage at Medal Lv. 1-5: 2000/2300/2700/3000/3700; Super Gain at Medal Lv. 1-5: 3000/3000/4000/4000/5000; cannot be special canceled into; medium startup with medium range
manon,manon_028_6_3_2_1_4_hp,HP Manège Doré,63214HP,specials,-,-,-,-,HKD +19,-,-,-,-,-,-,-,-,-,-,-,-,1.144 (1.126),-,Increases Medal Level by 1 on hit; damage at Medal Lv. 1-5: 2000/2300/2700/3000/3700; Super Gain at Medal Lv. 1-5: 3000/3000/4000/4000/5000; cannot be special canceled into; fastest startup with shortest range
