character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
jamie,jamie_002_5_lk,Stand LK (DL2),5LK,normals,13,16,12,9,+7,-11,+5,+1,+7,+3,-,-,-,1,1,0,-,1.13,150 (75),"Damage DL0-DL4: 270/285/300/315/330; chains into 5LK/2LP/2LK; chaining out of 5LK shifts Jamie's position forward, making light combos more consistent; chains into itself infinitely even on whiff (different animation than when chained into from other normals); SA2 cancel: +9/+5; Drink cancel: -35/-39; DR cancel is delayed until after 2nd active frame"
jamie,jamie_003_5_mp,Stand MP (DL2),5MP,normals,-,24,20,11,+10,-16,-,-,+10,+6,-,-,-,1,1,0,-,1.234,250 (125),"Damage DL0-DL4: 540/570/600/630/660; good combo and frame trap starter, but has no conversions near its max range"
jamie,jamie_004_5_mk,Stand MK (DL2),5MK,normals,15,22,17,11,+5,-18,+12,+7,+6,+1,-,-,-,1,1,0,-,1.476,350 (175),Damage DL0-DL4: 540/570/600/630/660; good poke and mid-range buffer; lifts up leg hurtbox on frames 4-12 (can avoid low pokes); 1f extra recovery on whiff; can combo naturally into 214MP/214PP; extends a wider hurtbox on whiff until the end of recovery; SA2 cancel: +15/+10; Drink cancel: -29/-34
jamie,jamie_006_5_hk,Stand HK (DL2),5HK,normals,17 (29 PC),27,19,13,KD +71 Crumple,-22,+16,+8,+7,-1,-,-,-,1 [-1 PC Ground],0,0,-,1.803 (1.721),500 (250),"Damage DL0-DL4: 720/760/800/840/880; grounded Punish Counter crumple is +9 before opponent becomes airborne; puts airborne opponents into limited juggle state; very long range for cancelable normal; on midscreen Punish Counter, can safely cancel into 2 Drinks (corner: Drink, juggle 2LP > 214PP, juggle 2HK~HK~P); SA2 cancel: +19/+11 (PC: KD+87); Drink cancel: -25/-33 (PC: KD+43); special/DR cancel is delayed until after 2nd active frame; extends a hurtbox 1f before active that is vulnerable to projectiles"
jamie,jamie_007_2_lp,Crouch LP (DL2),2LP,normals,13,16,10,9,+9,-9,+5,-1,+9,+3,-,-,-,1,1,0,-,0.98,150 (75),"Damage DL0-DL4: 225/237/250/262/275; chains into 5LK/2LP/2LK; Jamie's only 4f normal, useful for comboing into 5f lights; SA2 cancel: +9/+3; Drink cancel: -35/-41; DR cancel is delayed until after 2nd active frame"
jamie,jamie_008_2_lk,Crouch LK (DL2),2LK,normals,-,16,10,9,+7,-11,-,-,+7,+1,-,-,-,1,1,0,-,1.13,150 (75),Damage DL0-DL4: 180/190/200/210/220; chains into 5LK/2LP/2LK; useful option out of Drive Rush that links into 2MK for a double-low starter
jamie,jamie_009_2_mp,Crouch MP (DL2),2MP,normals,16,21,15,11,+9,-14,+11,+5,+9,+3,-,-,-,1,1,0,-,1.08,250 (125),"Damage DL0-DL4: 540/570/600/630/660; 2f extra recovery on whiff; decent tool for buffers, combos, and frame traps; extends a hurtbox on whiff until the end of recovery; SA2 cancel: +14/+8; Drink cancel: -30/-36"
jamie,jamie_010_2_mk,Crouch MK (DL2),2MK,normals,13,20,15,9,+3,-19,+9,+4,+3,-2,-,-,-,1,1,0,-,1.46,300 (150),Damage DL0-DL4: 450/475/500/525/550; high pushback on block makes it safer and helps to set up spacing traps; SA2 cancel: +12/+7; Drink cancel: -32/-37; Range: 1.42; special/DR cancel is delayed until after 2nd active frame; has an extended hurtbox on whiff until the end of recovery
jamie,jamie_011_2_hp,Crouch HP (DL2),2HP,normals,16,28,20,13,+4,-26,+18,+10,+4,-4,-,-,-,1,0,0,-,1.132 (1.042),500 (250),"Damage DL0-DL4: 810/855/900/945/990; good vertical anti-air (cannot hit cross-up, but head hurtbox is anti-air invincible on frames 8-32); forces stand on hit; only the first 2 active frames are cancelable; important combo tool for high-damage punishes and Drive Rush confirms and as a follow-up to Tenshin; SA2 cancel: +21/+13; Drink cancel: -23/-31"
jamie,jamie_013_j_lp,Jump LP (DL2),j.LP,normals,-,14,10,9,+8(+14),-8 (-2),-,-,-,-,-,-,-,1,1,0,-,0.71,150 (75),Damage DL0-DL4: 270/285/300/315/330; cross-up with a narrow hitbox; can be used as a fuzzy instant overhead
