character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
gouki_akuma,gouki_akuma_001_5_lp,Standing Light Punch,5LP,normals,13,14,9,9,+8,-8,+4,-1,+8,+3,-,-,-,1,1,0,-,1.02,150 (75),Chains into 5LP/2LP/2LK; fastest chain timing (more useful vs. DI)
gouki_akuma,gouki_akuma_002_5_lk,Standing Light Kick,5LK,normals,13,16,10,9,+6,-12,+4,-2,+6,0,-,-,-,1,1,0,-,1.303,150 (75),"Good range for a light normal; useful in light confirms, punishes, and neutral buffers; DR cancel is delayed until after active frames"
gouki_akuma,gouki_akuma_003_5_mp,Standing Medium Punch,5MP,normals,16,19,16,11,+8,-13,+9,+6,+8,+5,-,-,-,1,1,0,-,0.95,250 (125),2f extra recovery on whiff; primary tool for block pressure (high active frame count makes it strong for oki); leads into much stronger combos on counter-hit
gouki_akuma,gouki_akuma_004_5_mk,Standing Medium Kick,5MK,normals,17 (15*),23,17,11,+7,-18,+13,+7,+7,+1,-,-,-,1,1,0,-,1.23,250 (125),Forces stand (important for 214LK in combos and whiff punishes); high active frame count and good hitbox for counterpoking and for meaty pressure; only 15f to hitconfirm TC cancel without CH/PC/DR
gouki_akuma,gouki_akuma_005_5_hp,Standing Heavy Punch,5HP,normals,19,26,20,13,+7,-21,+14,+8,+7,+1,-,-,-,1,1,0,-,1.483,500 (250),Long-range hitconfirmable poke with a great hitbox; special/DR cancel is delayed until after 3rd active frame
gouki_akuma,gouki_akuma_007_2_lp,Crouching Light Punch,2LP,normals,13,16,10,9,+9,-9,+5,-1,+9,+3,-,-,-,1,1,0,-,1.00,150 (75),Chains into 5LP/2LP/2LK; Akuma's best light normal for combos due to 5LK link and 5MK counter-hit link; DR cancel is delayed until after active frames; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)
gouki_akuma,gouki_akuma_008_2_lk,Crouching Light Kick,2LK,normals,-,15,9,9,+7,-10,-,-,+7,+1,-,-,-,1,1,0,-,1.05,150 (75),Chains into 5LP/2LP/2LK
gouki_akuma,gouki_akuma_009_2_mp,Crouching Medium Punch,2MP,normals,16,23,16,11,+10,-15,+13,+6,+10,+3,-,-,-,1,1,0,-,1.18,250 (125),"2f extra recovery on whiff; excellent button for combos, midscreen buffers, and Drive Rush pressure (more rewarding than 5MP); topmost hurtbox on frames 1-8 is vulnerable only to aerial strikes (preventing its use as an anti-air); extends a wider hurtbox until the end of recovery"
gouki_akuma,gouki_akuma_010_2_mk,Crouching Medium Kick,2MK,normals,13,22,16,9,+4,-20,+10,+4,+4,-2,-,-,-,1,1,0,-,1.473,250 (125),Extends a wide hurtbox 3f before startup and during recovery; special/DR cancel is delayed until after active frames; DI cancel can occur on 1st active frame
gouki_akuma,gouki_akuma_011_2_hp,Crouching Heavy Punch,2HP,normals,17,28(27),19,13,+5,-25,+18,+9,+5,-4,-,-,-,1,1,0,-,0.90,500 (250),"Forces stand (important combo/punish tool for 214LK); head/arm hurtbox is anti-air invuln while active on frames 8-15; good anti-air for vertical approaches but cannot hit cross-up (anti-air hitbox takes ~11f to come out, making it slower than average); only cancelable on active frames 1-3 with 1f extra hitstun on these frames"
