character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
kimberly,kimberly_001_5_lp,Standing Light Punch,5LP,normals,12,15,8,9,+9,-8,+5,-2,+9,+2,-,-,-,1,1,0,-,0.97,150 (75),Chains into 5LP/2LP/2LK or into Bushin Prism Strikes; Run~Stop cancel: -8/-15 (OD: -5/-12)
kimberly,kimberly_002_5_lk,Standing Light Kick,5LK,normals,13,15,11,9,+5,-12,+5,+1,+5,+1,-,-,-,1,1,0,-,1.20,150 (75),"Good range for a cancelable light normal; possible to chain 4 lights (2LP, 2LP, 5LP, 5LK) into 236LP/Super or into 214HK vs. standing; Run~Stop cancel: -8/-12 (OD: -5/-9)"
kimberly,kimberly_004_5_mk,Standing Medium Kick,5MK,normals,15,22,17,11,+5,-19,+12,+7,+5,0,-,-,-,1,1,0,-,1.458,350 (175),"Most important normal in footsies, particularly canceled into Drive Rush; Run~Stop cancel: -1/-6 (OD: +2/-3)"
kimberly,kimberly_005_5_hp,Standing Heavy Punch,5HP,normals,17 (27 PC),26,19,13 (25 PC),+23 Stagger,-21,+16,+9,+7,0,-,-,-,1,1,0,-,1.41,500 (250),"In punishes, can cancel to Run~Stop or Teleport to maintain close position, then link into 5HK or 5HP; single hit confirmable, but will not combo to 236HP on the final cancel frame; Run~Stop cancel: +3/-4 (OD: +6/-1); can frame trap into meterless Arc Step; edge of hitbox is raised to make the attack more vulnerable to low-profile attacks; extends a hurtbox 1f before active that is vulnerable to projectiles"
kimberly,kimberly_006_5_hk,Standing Heavy Kick,5HK,normals,-,28,23,13,+11,-19,-,-,+11,+6,-,-,-,1,1,0,-,1.42 (1.363),500 (250),"Whiffs vs. crouching opponents if not point blank unless they extend a vertical hurtbox; good combo and pressure starter; upper body is Air Invuln 10-15f (decent anti-air, but a little slow and cannot hit cross-up); the small hitbox on Kimberly's foot can only hit airborne opponents"
kimberly,kimberly_007_2_lp,Crouching Light Punch,2LP,normals,13,14,9,9,+8,-8,+4,-1,+8,+3,-,-,-,1,1,0,-,1.01,150 (75),Chains into 5LP/2LP/2LK; Run~Stop cancel: -9/-14 (OD: -6/-11)
kimberly,kimberly_008_2_lk,Crouching Light Kick,2LK,normals,-,14,8,9,+8,-8,-,-,+8,+2,-,-,-,1,1,0,-,1.03,150 (75),"Chains into 5LP/2LP/2LK; slightly more pushback than other combo-starting lights, but can still chain 3 lights if starting point blank; can link to 5MP/2MP on Counter-hit or into 2HP out of close range Drive rush"
kimberly,kimberly_009_2_mp,Crouching Medium Punch,2MP,normals,15,23,15,11,+11,-14,+12,+4,+11,+3,-,-,-,1,1,0,-,1.11,300 (150),"2f extra recovery on whiff; important combo tool; Run~Stop cancel: -1/-9 (OD: +2/-6); special/DR cancel is delayed until after 2nd active frame; extends a hurtbox on whiff until the end of recovery (feet 6-23f, arm 6-15f with partial retraction 16-23f)"
kimberly,kimberly_010_2_mk,Crouching Medium Kick,2MK,normals,-,24,20,11,+9,-17,-,-,+9,+5,-,-,-,1,1,0,-,1.17,300 (150),"Non-cancelable, but can combo afterward and is a great option out of Drive Rush"
kimberly,kimberly_011_2_hp,Crouching Heavy Punch,2HP,normals,20,26,21,13,+7,-21,+16,+11,+7,+2,-,-,-,1,1,0,-,0.62,500 (250),"Forces stand on hit; good anti-air but cannot hit cross-up; in Drive Rush juggles, opponent is kept high enough to connect instant j.236PP for a ground bounce; can be up to +8/+3 meaty; best button for Run pressure (cancel into Arc Step beats 4f light normals); Run~Stop cancel: +3/-2 (OD: +6/+1)"
kimberly,kimberly_012_2_hk,Water Kick,2HK,normals,-,-,17,13,HKD +43,-25,-,-,KD +38,-6,-,-,-,1,1,5,-,1.52,600 (300),Has some juggle potential; can be used in place of 236LP in some juggles for extra meter build and higher KD advantage
kimberly,kimberly_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,9,9,+11(+13),-4 (-2),-,-,-,-,-,-,-,1,1,0,-,0.75,150 (75),Quick air-to-air
kimberly,kimberly_014_j_lk,Jumping Heavy Kick,j.LK,normals,-,14,10,9,+9(+14),-7 (-2),-,-,-,-,-,-,-,2,1,0,-,0.55,150 (75),"Cross-up; can be used as a fuzzy instant overhead (vs. Blanka, will not work after perfect safe jump j.HP/j.HK timing, making it useless in corner spraycan setup)"
kimberly,kimberly_015_j_mp,Jumping Medium Punch,j.MP,normals,-,17,13,11,+15(+17),-4 (-2),-,-,-,-,-,-,-,4,4,4,-,0.90,250 (125),"Puts airborne opponents into limited juggle state; lower body projectile invuln 6-28f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
kimberly,kimberly_016_j_mk,Jumping Medium Kick,j.MK,normals,-,17,13,11,+12(+17),-7 (-2),-,-,-,-,-,-,-,2,1,0,-,1.06,250 (125),Cross-up; lower body projectile invuln 7-30f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
kimberly,kimberly_017_j_hp,Jumping Heavy Punch,j.HP,normals,-,20,15,13,+13(+20),-9 (-2),-,-,-,-,-,-,-,0,0,5,-,0.68,500 (250),Causes spike knockdown vs. airborne opponents; best hitbox for opponents directly below Kimberly; useful in juggles with 2 spraycans as it does not increase the opponent's juggle count; lower body projectile invuln 8-30f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
kimberly,kimberly_018_j_hk,Jumping Heavy Kick,j.HK,normals,-,20,15,13,+15(+20),-7 (-2),-,-,-,-,-,-,-,2,5,5,-,1.09,500 (250),Great horizontal range and a good downward hitbox; useful for air resets after corner wallsplat into 6HK; lower body projectile invuln 9-35f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
kimberly,kimberly_019_3_mk,Water Slicer Slide,3MK,command_normals,-,23,17,11,+5(+10) / KD +37,-24(-15),-,-,+5(+10),-1 (+4),9-21 Upper Body Projectile,-,-,1,1,0,-,2.564 (2.027),250 (125),"Low profile 9-21f (combined with upper body projectile invuln, great at avoiding projectiles); the large extended hurtbox above her leg is also projectile invuln (more susceptible to mid counter-pokes in neutral); if it connects in a free juggle, puts airborne opponents into limited juggle state; the first 4 active frames have a set recovery that locks the frame advantage to +1/-5, and also cause a knockdown on Punish Counter (does not apply to later active frames, allowing combo extensions after punishing projectiles)"
