character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
sagat,sagat_001_5_lp,Standing Light Punch,5LP,normals,13 (DR: 15),18,11,9,+8,-12,+4,-3,+8,+1,-,-,-,1,1,0,-,1.26,150 (75),Chains into 5LP/2LP/2LK; great range for a chainable 5f jab (but slightly shorter than a standard shoto 5LK); DR cancel is delayed until after 2nd recovery frame; Sagat's only light normal that combos naturally into 214LK
sagat,sagat_002_5_lk,Standing Light Kick,5LK,normals,12 (DR: 14),16,13,9,+3,-15,+3,0,+3,0,-,-,-,1,1,0,-,1.56,150 (75),Long range but slow startup (more comparable to a medium normal); 2f extra recovery on whiff; great whiff punish tool that combos consistently into 623HP on Punish Counter; input overlap with 6LK Step Low Kick makes it harder to walk forward and poke in neutral; DR cancel is delayed until after 2nd recovery frame
sagat,sagat_003_5_mp,Standing Medium Punch,5MP,normals,-,25,21,11,+10,-17,-,-,+10,+6,-,-,-,1,1,0,-,1.08,350 (175),"Core pressure tool for frame traps (5MPx2 sets up a trade combo vs. most reversal 4f normals); pushback on block is too far for a throw mixup without Drive Rush; links consistently into 2MP on counter-hit or into 5HK on Punish Counter (very strong Drive Reversal punish option); on regular hit can lead to 5MP, 5MP, 5LP combo"
sagat,sagat_004_5_mk,Standing Medium Kick,5MK,normals,16,26,20,11,+7,-21,-,-,+7,+1,-,-,-,1,1,0,-,1.87,350 (175),Very long poke with a semi-hitconfirmable TC follow-up; more range vs. standing opponents (the tip of the hitbox whiffs on crouching opponents); the first 10 recovery frames extend a wide leg hurtbox making it more easily whiff punished by standing normals
sagat,sagat_005_5_hp,Standing Heavy Punch,5HP,normals,19,26,21,13,+4,-24,-,-,+4,-1,-,-,-,1,1,0,-,2.17,500 (250),3f extra recovery on whiff; huge range poke with a hitconfirmable TC follow-up; the first 10 recovery frames extend a wide arm-height hurtbox making it easily whiff punished by standing normals
sagat,sagat_006_5_hk,Standing Heavy Kick,5HK,normals,33 / 16 (1st) / 18 (2nd),"30,26 (28 total)","20,20 (22 total)","13,13",+5,-25(-23),+20/+16,+10/+10,+5,-1(-3),-,-,-,"0,1","1,1","0,1(0)",-,1.96 (1.25),250x2 / 500 (125x2 / 250),"Upper Body/Leg hurtbox is anti-air invincible on frames 9-15 (solid anti-air against midrange jumps); cannot hit cross-up; 1st hit forces stand on hit; 2nd hit whiffs on crouching opponents (2f worse on block); 4f extra recovery if both hits whiff; 1st hit deals extra hitstun, allowing a natural combo into 214HK; deals full damage / Drive damage / Meter gain even if only the 2nd hit connects; 1st hit puts airborne opponents into a free juggle state (limited juggle if comboed from a wallsplat or airborne crumple), then air resets on the 2nd hit; 2nd hit only has juggle potential after the 1st hit connects; the first 11 recovery frames extend a wide leg hurtbox making it more easily whiff punished by standing normals; carries counter-hit/Punish Counter advantage through both hits"
sagat,sagat_007_2_lp,Crouching Light Punch,2LP,normals,12 (DR: 15),17,11,9,+9,-10,+4,-2,+9,+3,-,-,-,1,1,0,-,1.20,150 (75),"Chains into 5LP/2LP/2LK; excellent range for a 4f jab; high pushback makes tick throw and counter-hit pressure weaker, but also allows Sagat to space himself outside the opponent's reversal normals on block; DR cancel is delayed until after 2nd~3rd recovery frame; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
sagat,sagat_008_2_lk,Crouching Light Kick,2LK,normals,-,16,12,9,+5,-13,-,-,+5,+1,-,-,-,1,1,0,-,1.22,150 (75),Chains into 5LP/2LP/2LK; low starter that can combo into any 3-light chain from close range
sagat,sagat_009_2_mp,Crouching Medium Punch,2MP,normals,15 / 16(~HK) / 19(~HP),23,19,11,+8,-18,+13,+9,+8,+3,-,-,-,1,1,0,-,1.48 (1.36),250 (125),"Solid mid-range cancelable poke and buffer tool; 1f extra recovery on block; 3f extra recovery on whiff; significantly more range on active frames 2-3 (more effective linking from +8 or punishing -8 moves); cancelable into 2 different Target Combo follow-ups with different hitconfirm timings (requires Punish Counter or Drive Rush for 2MP~HP combo); topmost hurtbox is vulnerable only to aerial strikes on frames 1-9 (preventing its use as an anti-air), and is projectile invincible on frames 1-14 to avoid High Tiger Shot (frames 15-26 are still vulnerable)"
sagat,sagat_010_2_mk,Crouching Medium Kick,2MK,normals,-,26,19,11,+9,-19,-,-,+8,+2,-,-,-,1,1,0,-,1.66,300 (150),"Amazing hitbox priority as a neutral poke; can link to 5LP at closer ranges, or into 2MP/5LK on Counter-hit; useful combo/pressure starter out of Drive Rush (but has poor link options near its max range)"
sagat,sagat_011_2_hp,Crouching Heavy Punch,2HP,normals,18,26,20,13,+5,-23,+16,+10,+5,-1,-,-,-,1,1,0,-,1.65 (1.51),500 (250),"Very long range for a cancelable and hitconfirmable poke; significantly more range on active frames 3-4; topmost hurtbox is vulnerable only to aerial strikes on frames 1-14 (preventing its use as an anti-air), and is projectile invincible on frames 1-19 to avoid High Tiger Shot (frames 20-35 are still vulnerable)"
sagat,sagat_012_2_hk,Tiger Kick,2HK,normals,-,-,17,13,HKD +45,-27,-,-,KD +29,-8,-,-,-,1,1,3,-,1.91,500 (250),Has some juggle potential; great range and hitbox priority; can be punished on block by most other sweeps in the game
sagat,sagat_013_j_lp,Jumping Light Punch,j.LP,normals,-,13,9,9,+10(+13),-5 (-2),-,-,-,-,-,-,-,3,3,1,-,1.14,150 (75),Fast air-to-air with solid horizontal range
sagat,sagat_014_j_lk,Jumping Light Kick,j.LK,normals,-,14,10,9,+9(+14),-7 (-2),-,-,-,-,-,-,-,3,3,0,-,0.64,150 (75),Cross-up; can be used as a fuzzy instant overhead
sagat,sagat_015_j_mp,Jumping Medium Punch,j.MP,normals,-,"15,15","11,11","8,10",+14(+15),-3(-2),-,-,-,-,-,-,-,"3,1","3,1","1,4",-,1.10 (0.85),125x2 (62x2),"2 hits; puts airborne opponents into a limited juggle state; if 1st hit is stand blocked, the 2nd hit will not hit overhead against crouch block; lower body projectile invuln 8-22f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
sagat,sagat_016_j_mk,Jumping Medium Kick,j.MK,normals,-,19,14,11,+13(+19),-8 (-2),-,-,-,-,-,-,-,3,3,0,-,1.42,250 (125),Long horizontal range (barely shorter than j.HK) with a better downward attack angle and nearly identical hitstun and blockstun; lower body projectile invuln 8-25f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
sagat,sagat_017_j_hp,Jumping Heavy Punch,j.HP,normals,-,19,15,13,+12(+19),-9 (-2),-,-,-,-,-,-,-,3,3,1,-,1.11,500 (250),Strong downward attack angle; spike knockdown vs. airborne opponents; lower body projectile invuln 10-22f (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
sagat,sagat_018_j_hk,Jumping Heavy Kick,j.HK,normals,-,19,15,13,+15(+19),-6 (-2),-,-,-,-,-,-,-,3,3,1,-,1.44,500 (250),"Longest horizontal range; puts airborne opponents into a limited juggle state; lower body projectile invuln 10-21f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
sagat,sagat_019_6_mp,Tiger Heavy Elbow,6MP,command_normals,-,25,19,13,+7,-20,-,-,+7,+1,-,-,-,1,1,1,-,1.71,250 (125),Spike knockdown vs. airborne opponents; Drive Rush gives a combo into 2MP (no real strike/throw pressure on block); meaty timing allows a follow-up link (up to +5/0 on final active frame)
sagat,sagat_020_4_hp,Tiger Monolith,4HP,command_normals,35,-,20(23),"13,13",KD +41,-24(-31),KD +54,+10,KD +34,,-,-,-,"0,1","0,1","0,2",-,1.13,250x2 (125x2),"Tall hitbox on 2nd hit, but also extends a tall hurtbox with no anti-air invincibility (likely to lose/trade with jump-ins); cannot hit cross-up; 2nd hit whiffs on crouch blocking opponents (3f worse on block and not cancelable); cancel does not occur until the 2nd hit's active frames (still executes on hit even if the 2nd hit whiffs); puts opponents into a limited juggle state (can combo into 236MP, DR~delay 4HP > 236HK, 623MP for great midscreen damage and corner carry); free juggle state from DR~4HP, allowing a more optimal corner juggle: > 214MK, 4HP > 236HK, 623MP; launches higher on Counter-hit/Punish Counter (KD +41) or on airborne opponents (KD +40); 1st hit puts opponent into a free juggle OTG bounce state that is usually overwritten by the 2nd hit (but can still occur on trades or when hitting extended hurtboxes)"
sagat,sagat_021_6_lk,Step Low Kick,6LK,command_normals,-,24,18,13,+7,-19,-,-,+7,+1,-,-,-,1,1,0,-,2.35,500 (250),"Long range advancing low poke that leaves Sagat close for a strike/throw mixup on hit while remaining safe on block; 3f extra recovery on whiff; can link into light normals on Counter-hit, or into 2MP after Drive Rush or Punish Counter; knocks down airborne opponents (KD +35~38) when juggled into (but has no juggle potential on its own); the first 7 recovery frames extend a wide foot hurtbox making it more easily whiff punished by low-reaching normals"
sagat,sagat_022_6_hk,Step High Kick,6HK,command_normals,-,32,26,13 (25 PC),+21 Stagger,-20,-,-,+11,+8,-,-,-,1 [0 PC],10,10,-,2.66,500 (250),"Upper Body/Leg hurtbox is anti-air invincible on frames 14-19 (useful as a predictive long range anti-air); whiffs on crouching opponents; puts airborne opponents into a limited juggle state; Punish Counter staggers grounded opponents and puts airborne opponents into a free juggle state; 3f fewer total frames on block/parry/armor (active frames end upon contact, with variable recovery depending on which active frame connected); the first 5 recovery frames extend a wide hurtbox where the kicking leg was (too high for many attacks to easily connect as a whiff punish); extends hurtbox 1f before active that is vulnerable to projectiles; useful in Drive Rush cancel routes from 2HP/5HK/2MP~HP (but the pushback prevents Sagat's usual midscreen link of 4HP > 236MP, juggle DR~4HP)"
sagat,sagat_025_2_mp_hp,Tiger Slash,2MP~HP,command_normals,54 (17),28,16,13,+2,-28,+16,+4,-,-,-,-,-,1,4,3,-,2.24,500 (250),Combos after Punish Counter or Drive Rush 2MP only; causes limited juggle OTG bounce vs. airborne opponents
sagat,sagat_026_2_mp_hk,Tiger Rise,2MP~HK,command_normals,59 (27),-,20,13,KD +32,-28,-,-,-,-,-,-,-,1,1,4,-,2.35,600 (300),3f blockstring gap between hits; harder to confirm into from 2MP but combos naturally; launch only allows a canceled Super but no other follow-up juggles; easily hitconfirmed into Super even if only the 2nd hit connects as a frame trap; higher KD advantage when juggled into
sagat,sagat_027_2_3_6_mp,High Tiger Shot,236MP,specials,4,30,30,10,+7,-16,-,-,-,-,-,-,-,1,2,1,0.08,-,300 (150),"Medium speed 1-hit projectile (comparable to a shoto HP fireball, but much slower than Sagat's other projectiles); whiffs on crouching opponents unless they extend an upward hurtbox; puts airborne opponents into a limited juggle state (useful juggle tool after 4HP launch); has much better recovery and frame advantage than the Low version; can be used meaty on the opponent's wakeup even if they crouch block, but the opponent can input a crouching button to avoid blocking the projectile; extends a slight projectile invincible arm hurtbox on frames 18-32 and a leg hurtbox on frames 18-42"
sagat,sagat_028_2_3_6_hp,High Tiger Shot,236HP,specials,4,30,30,10,+3,-20,-,-,-,-,-,-,-,1,2,1,0.14,-,300 (150),"Fast 1-hit projectile; whiffs on crouching opponents unless they extend an upward hurtbox; puts airborne opponents into a limited juggle state; has much better recovery and frame advantage than the Low version; can be used meaty on the opponent's wakeup even if they crouch block, but the opponent can input a crouching button to avoid blocking the projectile; extends a slight projectile invincible arm hurtbox on frames 14-28 and a leg hurtbox on frames 14-42"
sagat,sagat_029_2_3_6_p_p,High Tiger Shot,236MPHP,specials,12,-,34 total,"6,6,10",KD +63,+5,-,-,-,-,-,-,-,"0,0,3","0,0,2","7,7,7",0.19,-,"75x2,150 (37x2,75)","Extremely fast 3-hit OD projectile; slow startup but very powerful in fireball wars once released; can hit crouching opponents unlike the MP/HP High Tiger Shots; can be used while a meterless Tiger Shot is still on-screen; excellent frame advantage on hit or block; puts opponents into a limited juggle state; can juggle into SA1 from anywhere on the screen, and into another OD High Tiger Shot from fullscreen (or at close range vs. cornered opponents); extends a slight projectile invincible arm hurtbox on frames 25-41 and a leg hurtbox on frames 25-48; starter scaling does not apply if only the 3rd hit connects (e.g. clashing with 2-hit OD fireball or breaking Drive Impact armor)"
sagat,sagat_030_2_3_6_lp,Low Tiger Shot,236LP,specials,4,34,30,10,+1,-26,-,-,-,-,-,-,-,1,1,1,0.105,-,300 (150),"Fast 1-hit projectile (speed is not variable); can hit crouching opponents unlike MP/HP High Tiger Shot; has extremely long recovery compared to most projectiles (more vulnerable to jumps, Drive Impact, projectile invuln moves, and Perfect Parry + Drive Rush); the projectile travels low to the ground, preventing many low profile attacks from avoiding it (e.g. Kimberly's slide, A.K.I.'s Sinister Slide); Sagat is in a crouching state for the entire move duration with crouch-sized hurtboxes; puts airborne opponents into a limited juggle state; extends a slight projectile invincible arm hurtbox on frames 16-43 and a leg hurtbox on frames 14-50; topmost hurtboxes are vulnerable only to air attacks on frames 1-50 (more vulnerable to jump-ins despite crouching) and are projectile invincible on frames 1-31 to avoid High Tiger Shot (frames 32-50 are still vulnerable)"
