dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t009:Chun-Li_2hp,Chun-Li_2hp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""2HP"",""move_group"":""normals"",""move_name"":""Crouching Heavy Punch"",""notes_sc"":""2 hits (only 2nd is cancelable); forces stand on hit; solid anti-air on frames 12-13 and 21-23 (cannot hit cross-up); 1st hit puts airborne opponent into limited juggle state (2nd hit causes air reset, but can whiff for a knockdown); counter-hit/Punish Counter bonus advantage applies to both hits; Stance Cancel: +8/+4 into follow-up, -6/-10 into blocking"",""punish_adv"":""+5"",""raw_source_token"":""Chun-Li_2hp""}",chunli_011_2_hp,chunli,Crouching Heavy Punch,2HP,normals,9,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t014:Chun-Li_jmp,Chun-Li_jmp,supercombo_missing_official_safe_row,"{""binding_class"":""B"",""input"":""j.MP"",""move_group"":""normals"",""move_name"":""Jumping Medium Punch"",""notes_sc"":""2 hits, can only connect once vs. grounded opponents; both hits put airborne opponents into limited juggle state; cancels to Air Lightning Legs or Air SA1 from either hit; lower body projectile invuln 7-22f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"",""punish_adv"":""+12(+17)"",""raw_source_token"":""Chun-Li_jmp""}",chunli_015_j_mp,chunli,Jumping Medium Punch,j.MP,normals,14,B,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t034:Chun-Li_214p_hp,Chun-Li_214p_hp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214P~HP"",""move_group"":""command_normals"",""move_name"":""Lotus Fist"",""notes_sc"":""No charge required to cancel into Kikoken or Spinning Bird Kick; exits Serenity Stream upon use; only first hit is an overhead; 1-2f low profile, 1-5f crouching state; 29-42f no head hurtbox"",""punish_adv"":""+6"",""raw_source_token"":""Chun-Li_214p_hp""}",chunli_032_hp,chunli,Lotus Fist,214P~HP,command_normals,34,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t055:Chun-Li_236kk_kk,Chun-Li_236kk_kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236KK~KK"",""move_group"":""specials"",""move_name"":""Lightning Kick Barrage"",""notes_sc"":""() refers to scaled damage from 236KK combo starter; 10 hits total; does not cost additional Drive meter; cannot hit cross-up"",""punish_adv"":""KD +29"",""raw_source_token"":""Chun-Li_236kk_kk""}",chunli_044_k_k,chunli,Lightning Kick Barrage,236KK~KK,specials,55,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t019:Chun-Li_8jhk,Chun-Li_8jhk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""8HK"",""move_group"":""specials"",""move_name"":""Neutral Jump Heavy Kick"",""notes_sc"":""Hits on both sides, preventing the opponent from walking under for a punish; useful air-to-air; lower body projectile invuln 8-19f and 8-25f on kicking legs (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"",""punish_adv"":""+15(+20)"",""raw_source_token"":""Chun-Li_8jhk""}",chunli_051_8_hk,chunli,Neutral Jump Heavy Kick,8HK,specials,19,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t068:Chun-Li_22lk,Chun-Li_22lk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""22LK"",""move_group"":""specials"",""move_name"":""Tensho Kicks"",""notes_sc"":""Cannot hit cross-up; the final landing recovery frame is in a crouching state"",""punish_adv"":""KD +29"",""raw_source_token"":""Chun-Li_22lk""}",chunli_057_2_2_lk,chunli,Tensho Kicks,22LK,specials,68,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t069:Chun-Li_22mk,Chun-Li_22mk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""22MK"",""move_group"":""specials"",""move_name"":""Tensho Kicks"",""notes_sc"":""Cannot hit cross-up; the final landing recovery frame is in a crouching state"",""punish_adv"":""KD +25"",""raw_source_token"":""Chun-Li_22mk""}",chunli_058_2_2_mk,chunli,Tensho Kicks,22MK,specials,69,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t070:Chun-Li_22hk,Chun-Li_22hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""22HK"",""move_group"":""specials"",""move_name"":""Tensho Kicks"",""notes_sc"":""Cannot hit cross-up; the final landing recovery frame is in a crouching state"",""punish_adv"":""KD +37"",""raw_source_token"":""Chun-Li_22hk""}",chunli_059_2_2_hk,chunli,Tensho Kicks,22HK,specials,70,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t071:Chun-Li_22kk,Chun-Li_22kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""22KK"",""move_group"":""specials"",""move_name"":""Tensho Kicks"",""notes_sc"":""Active/Recovery frames listed are for whiff/block (follow-up attack only occurs after 2nd hit connects); cannot hit cross-up; the final landing recovery frame is in a crouching state"",""punish_adv"":""KD +30"",""raw_source_token"":""Chun-Li_22kk""}",chunli_060_2_2_k_k,chunli,Tensho Kicks,22KK,specials,71,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t074:Chun-Li_236236k,Chun-Li_236236k,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""Hoyoku-sen"",""notes_sc"":""12f blockstring gap before final hit (8f in Burnout); 1000 damage if only the last hit connects; last hit is forward jump cancelable and puts opponent into free juggle state on grounded hit (limited juggle state if juggled into); applies 30% scaling to Super Art gain until end of combo; Full active frame distribution: 2(1)2(1)2(1)2(2)2(1)2(1)2(1)2(11)2(2)2(2)2(2)2(2)2(2)2(2)2(23)3"",""punish_adv"":""KD +29"",""raw_source_token"":""Chun-Li_236236k""}",chunli_063_2_3_6_2_3_6_k,chunli,Hoyoku-sen,236236K,super_arts,74,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t075:Chun-Li_214214k,Chun-Li_214214k,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214214K"",""move_group"":""super_arts"",""move_name"":""Soten Ranka"",""notes_sc"":""Hits 3 times on block (true blockstring); no cinematic if 1st hit whiffs (1000 dmg total); cinematic time regenerates ~1.8 Drive bars for Chun-Li"",""punish_adv"":""HKD +6"",""raw_source_token"":""Chun-Li_214214k""}",chunli_064_2_1_4_2_1_4_k,chunli,Soten Ranka,214214K,super_arts,75,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t076:Chun-Li_214214k(ca),Chun-Li_214214k(ca),supercombo_missing_official_safe_row,"{""binding_class"":""C"",""input"":""214214K"",""move_group"":""super_arts"",""move_name"":""Soten Ranka (CA)"",""notes_sc"":""Hits 3 times on block (true blockstring); no cinematic if 1st hit whiffs (1000 dmg total); available at 25% HP or below; cinematic time regenerates ~2 Drive bars for Chun-Li"",""punish_adv"":""HKD +18"",""raw_source_token"":""Chun-Li_214214k(ca)""}",chunli_065_2_1_4_2_1_4_k,chunli,Soten Ranka (CA),214214K,super_arts,76,C,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t042:Chun-Li_6hphk,Chun-Li_6hphk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""6HPHK"",""move_group"":""system"",""move_name"":""Hoyoku Kick (Block)"",""notes_sc"":""2 hits; performed by inputting 6HPHK during blockstun; 7f extra recovery on hit; freezes the screen for 4f during startup; if 1st hit is Perfect Parried, opponent can interrupt with a move 11f or faster; see Drive Reversal ."",""punish_adv"":""KD +23"",""raw_source_token"":""Chun-Li_6hphk""}",chunli_072_6_hphk,chunli,Hoyoku Kick (Block),6HPHK,system,42,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T205125Z-e44b2ca7,20260412T205125Z-e44b2ca7:t043:Chun-Li_6hphk_recovery,Chun-Li_6hphk_recovery,supercombo_missing_official_safe_row,"{""binding_class"":""F"",""input"":""6HPHK"",""move_group"":""system"",""move_name"":""Hoyoku Kick (Recovery)"",""notes_sc"":""2 hits; performed by inputting 6HPHK on wakeup; 7f extra recovery on hit; does not have any screen freeze; if 1st hit is Perfect Parried, opponent can interrupt with a move 11f or faster; see Drive Reversal ."",""punish_adv"":""KD +23"",""raw_source_token"":""Chun-Li_6hphk_recovery""}",chunli_073_6_hphk,chunli,Hoyoku Kick (Recovery),6HPHK,system,43,F,True,confirmed,,,
